id,kategori,zorluk,soru,secenek_a,secenek_b,secenek_c,secenek_d,dogru_secenek,dogru_cevap,aciklama,etiketler,kaynak
ZK015,Tarih,Orta,Kürt tarih yazımında Şerefname adlı eser kiminle ilişkilendirilir?,Şeref Han Bitlisi,Ehmedê Xanî,Cegerxwîn,Mikdad Midhat Bedirxan,A,Şeref Han Bitlisi,"Şerefname, Kürt emirlikleri ve hanedanları hakkında erken dönem önemli kaynaklardan biridir.","Şerefname, Bitlis, tarih yazımı",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK016,Tarih,Orta,Baban Emirliği en çok hangi şehir merkezli Kürt emirliği olarak anılır?,Silêmanî / Süleymaniye,Kobanê,Dersim,Qamişlo,A,Silêmanî / Süleymaniye,"Baban Emirliği, özellikle Süleymaniye çevresindeki Kürt emirliği olarak bilinir.","Baban, Süleymaniye, emirlikler",https://www.iranicaonline.org/articles/baban-2/
ZK017,Tarih,Zor,Kürt emirliklerinin 19. yüzyılda zayıflamasında hangi süreç belirleyici olmuştur?,Osmanlı ve Kaçar merkezileşme politikaları,Viking seferleri,Roma cumhuriyet reformları,Moğolların Japonya seferi,A,Osmanlı ve Kaçar merkezileşme politikaları,"Baban, Botan ve Soran gibi emirlikler, imparatorluk merkezileşmesi ve bölgesel rekabetler içinde geriledi.","emirlikler, merkezileşme, 19. yüzyıl",https://www.iranicaonline.org/articles/baban-2/
ZK018,Tarih,Kolay,Kürdistan adlı ilk Kürt gazetesi ilk kez hangi yıl yayımlandı?,1898,1923,1946,1978,A,1898,Kürdistan gazetesi 1898’de yayımlanarak Kürt basın tarihi için başlangıç noktası kabul edilir.,"Kürt basını, gazete, 1898",https://doaj.org/article/722cc50860b24dc68424aac624e6c710
ZK019,Tarih,Orta,İlk Kürt gazetesi Kürdistan nerede yayıma başlamıştır?,Kahire,Paris,Bağdat,Diyarbakır,A,Kahire,"Kürdistan gazetesi, Osmanlı baskısından uzak bir yayın zemini olarak Kahire’de çıkarılmıştır.","Kahire, Kürdistan gazetesi, basın",https://doaj.org/article/722cc50860b24dc68424aac624e6c710
ZK020,Tarih,Orta,Mahabad Cumhuriyeti hangi yılda kurulmuş kısa ömürlü Kürt siyasal deneyimidir?,1915,1920,1946,1991,C,1946,Mahabad Cumhuriyeti 1946’da İran’da ilan edilmiş ve aynı yıl sona ermiş kısa ömürlü bir Kürt yönetimiydi.,"Mahabad, 1946, cumhuriyet",https://www.britannica.com/place/Kurdistan
ZK021,Tarih,Zor,Mustafa Barzani 1946’da hangi kısa ömürlü Kürt siyasal deneyiminde askeri komutan olarak öne çıktı?,Mahabad Cumhuriyeti,Eyyubi Devleti,Soran Emirliği,Rojava Sosyal Sözleşmesi,A,Mahabad Cumhuriyeti,"Britannica, Mustafa Barzani’nin Mahabad Cumhuriyeti ordusunda komutan olarak öne çıktığını belirtir.","Mustafa Barzani, Mahabad, 1946",https://www.britannica.com/biography/Mustafa-al-Barzani
ZK022,Tarih,Kolay,Kürt tarihindeki Newroz anlatısında zalime karşı direnişin sembol ismi kimdir?,Kawa/Kave Demirci,Sokrates,Sezar,Marco Polo,A,Kawa/Kave Demirci,"Kürt Newroz anlatısında Kawa, Dehak/Zahhak zulmüne karşı başkaldırının sembol figürüdür.","Newroz, Kawa, direniş",https://www.unesco.org/en/days/nowruz
ZK023,Tarih,Orta,1920 Sevr Antlaşması Kürt meselesi açısından neden sık anılır?,Kürtler için özerklik/olası bağımsızlık maddeleri tartışıldığı için,Kürtçeyi yasakladığı için,Erbil Kalesi’ni UNESCO’ya aldığı için,Mahabad’ı kurduğu için,A,Kürtler için özerklik/olası bağımsızlık maddeleri tartışıldığı için,"Sevr, modern Kürt siyasi tartışmalarında özerklik ve olası statü tartışmaları nedeniyle referans verilir.","Sevr, Kürt meselesi, statü",https://www.britannica.com/place/Kurdistan
ZK024,Tarih,Orta,1991 sonrası Irak’ın kuzeyinde Kürtler açısından hangi süreç güçlendi?,Fiili özerk yönetim ve sonrasında KRG kurumlaşması,Tamamen sömürge yönetimi,Roma eyaleti statüsü,Moğol hanlığı yönetimi,A,Fiili özerk yönetim ve sonrasında KRG kurumlaşması,1991 sonrası Irak Kürdistanı’nda özerk yönetim kurumlarının gelişmesi KRG’nin temel tarihsel süreçlerinden biridir.,"KRG, 1991, özerklik",https://gov.krd/boi-en/why-kurdistan/region/facts-figures/
ZK025,Dil,Kolay,Kürtçe hangi büyük dil ailesinin Hint-İran koluyla ilişkilendirilir?,Hint-Avrupa,Ural,Sino-Tibet,Bantu,A,Hint-Avrupa,"Kürtçe, Hint-Avrupa dil ailesinin Hint-İran/İrani kolundaki Batı İran dilleri içinde değerlendirilir.","Kürtçe, dil ailesi, İrani",https://www.britannica.com/topic/Kurdish-language
ZK026,Dil,Kolay,Kurmancî ve Soranî neyin iki önemli kolu/lehçesi olarak bilinir?,Kürtçenin,Arapçanın,Yunancanın,Rusçanın,A,Kürtçenin,"Kurmancî ve Soranî, Kürtçe denildiğinde en yaygın iki ana lehçe/standart olarak öne çıkar.","Kurmancî, Soranî, Kürtçe",https://www.britannica.com/topic/Kurdish-language
ZK027,Dil,Orta,Kurmancî çoğunlukla hangi yazı sistemiyle yazılır?,Latin kökenli Hawar alfabesi,Kiril alfabesi dışında hiçbir alfabe,Çivi yazısı,Japon kana sistemi,A,Latin kökenli Hawar alfabesi,"Kurmancî, özellikle Türkiye ve Suriye bağlamında Latin temelli Hawar alfabesiyle yaygınlaşmıştır.","Hawar, Kurmancî, alfabe",https://nykcc.org/langauge/hawar-archive/
ZK028,Dil,Orta,Soranî Kürtçesi Irak ve İran’da çoğunlukla hangi yazı sistemiyle yazılır?,Arap temelli Kürt alfabesi,Latin Hawar alfabesi dışında hiç yazılmaz,Runik yazı,Gürcü alfabesi,A,Arap temelli Kürt alfabesi,"Soranî, Irak ve İran’da Arap temelli Kürt alfabesiyle yaygın biçimde yazılır.","Soranî, alfabe, yazı sistemi",https://www.britannica.com/topic/Kurdish-language
ZK029,Dil,Orta,Zazakî ve Goranî için dilbilimde en doğru yaklaşım hangisidir?,Kürt topluluklarıyla güçlü sosyo-kültürel bağı olan ama sınıflandırması tartışmalı İranî diller/lehçeler,Tamamen Latin dilleridir,Çin-Tibet dilidir,Modern İngilizcenin kollarıdır,A,Kürt topluluklarıyla güçlü sosyo-kültürel bağı olan ama sınıflandırması tartışmalı İranî diller/lehçeler,"Zazakî ve Goranî, Kürt kimliğiyle ilişkilendirilen ancak dilbilimsel sınıflandırması tartışmalı İranî konuşma biçimleridir.","Zazakî, Goranî, sınıflandırma",https://www.britannica.com/topic/Kurdish-language
ZK030,Dil,Kolay,Kürtçede “roj” kelimesi en temel anlamıyla ne demektir?,Güneş/gün,Su,Dağ,Kitap,A,Güneş/gün,"Roj, Kürtçede “gün” ve “güneş” anlam alanıyla ilişkilidir; Rojava gibi yer adlarında da görülür.","Kürtçe kelime, roj, sözlük",https://www.britannica.com/topic/Kurdish-language
ZK031,Dil,Kolay,Kürtçede “av” kelimesi ne anlama gelir?,Su,Ateş,Yol,Dost,A,Su,"Av, Kurmancîde su anlamına gelen temel kelimelerden biridir.","Kürtçe kelime, av, su",https://www.britannica.com/topic/Kurdish-language
ZK032,Dil,Kolay,Kürtçede “heval” kelimesi genellikle ne demektir?,Arkadaş/yoldaş,Dağ,Yemek,Pazar,A,Arkadaş/yoldaş,"Heval, gündelik kullanımda arkadaş; siyasal-kolektif bağlamda yoldaş anlamında kullanılır.","heval, arkadaş, yoldaş",https://www.britannica.com/topic/Kurdish-language
ZK033,Dil,Orta,Kürtçe dijital teknoloji açısından neden “az kaynaklı dil” olarak sık anılır?,"Dijital veri, standartlaştırılmış korpus ve NLP kaynağı sınırlı olduğu için",Hiç konuşanı olmadığı için,Yalnızca matematikte kullanıldığı için,Yazıya aktarılamadığı için,A,"Dijital veri, standartlaştırılmış korpus ve NLP kaynağı sınırlı olduğu için","Kürtçe NLP çalışmalarında korpus, etiketli veri ve dil teknolojisi kaynağı eksikliği önemli bir sorun olarak belirtilir.","NLP, az kaynaklı dil, korpus",https://arxiv.org/abs/1909.11467
ZK034,Dil,Zor,KTC adlı çalışma Kürtçe için hangi alana katkı sunar?,Soranî ders kitaplarından oluşan metin korpusu,Kürt yemek tarifleri ansiklopedisi,KRG bütçe tablosu,Erbil Kalesi restorasyon planı,A,Soranî ders kitaplarından oluşan metin korpusu,"KTC, Soranî ders kitaplarından derlenen bir metin korpusu olarak Kürtçe NLP için kaynak sunar.","KTC, Soranî, korpus",https://arxiv.org/abs/1909.11467
ZK035,Dil,Orta,"Kürtçede “Jin, Jiyan, Azadî” sloganının Türkçedeki karşılığı hangisidir?","Kadın, yaşam, özgürlük","Dağ, su, güneş","Dil, kitap, okul","Ev, yol, pazar",A,"Kadın, yaşam, özgürlük","Slogan Kürtçe kadın, yaşam ve özgürlük kelimelerinden oluşur; feminist ve özgürlükçü hareketlerde sembolleşmiştir.","Jin Jiyan Azadî, slogan, kadın özgürlüğü",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK036,Dil,Zor,Kürtçe konuşma tanıma çalışmalarında Jira projesi hangi alanda örnek gösterilir?,Merkezî Kürtçe/Soranî için konuşma korpusu ve tanıma sistemi,Kürt mutfağı için yemek robotu,Diyarbakır surları restorasyonu,Mahabad tarihi romanı,A,Merkezî Kürtçe/Soranî için konuşma korpusu ve tanıma sistemi,"Jira, Merkezî Kürtçe için konuşma korpusu ve büyük sözvarlıklı konuşma tanıma çalışması olarak sunulmuştur.","Jira, konuşma tanıma, Soranî",https://arxiv.org/abs/2102.07412
ZK037,Edebiyat ve Basın,Kolay,Mem û Zîn adlı klasik Kürt eseri en çok hangi yazar/şairle ilişkilendirilir?,Ehmedê Xanî,Nazım Hikmet,Dante,Tolstoy,A,Ehmedê Xanî,"Mem û Zîn, Ehmedê Xanî’nin Kürt edebiyatındaki en önemli eserlerinden biri kabul edilir.","Mem û Zîn, Ehmedê Xanî, edebiyat",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK038,Edebiyat ve Basın,Orta,Mem û Zîn hangi lehçede yazılmış klasik bir metin olarak öne çıkar?,Kurmancî,İngilizce,Latince,Japonca,A,Kurmancî,"Eser, klasik Kurmancî edebiyatının temel metinleri arasında anılır.","Kurmancî, klasik edebiyat, Mem û Zîn",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK039,Edebiyat ve Basın,Orta,Dengbêj geleneği edebiyat ve hafıza açısından neyi temsil eder?,Sözlü anlatı ve ezgili hikâye aktarımını,Sadece sessiz tiyatroyu,Matematiksel ispatları,Deniz haritacılığını,A,Sözlü anlatı ve ezgili hikâye aktarımını,Dengbêjler uzun anlatıları çoğu zaman müziksiz veya az eşlikle sözlü hafıza olarak taşır.,"dengbêj, sözlü kültür, hafıza",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK040,Edebiyat ve Basın,Orta,Kürt yazılı edebiyatı 20. yüzyıla kadar ağırlıkla hangi türde gelişti?,Şiir,Bilim kurgu romanı,Sinematik senaryo,Denizcilik günlükleri,A,Şiir,"Iranica, Kürtçe yazılı üretimin uzun süre ağırlıkla şiir olarak sürdüğünü, prose/düzyazının 20. yüzyılda geliştiğini belirtir.","şiir, yazılı edebiyat, tarih",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK041,Edebiyat ve Basın,Kolay,İlk Kürt gazetesi hangi adı taşır?,Kürdistan,Hawar,Azadiya Welat,Rojnameya Nû,A,Kürdistan,"Kürdistan gazetesi, ilk Kürt gazetesi olarak basın tarihinde özel bir yere sahiptir.","Kürdistan gazetesi, ilk gazete, basın",https://doaj.org/article/722cc50860b24dc68424aac624e6c710
ZK042,Edebiyat ve Basın,Orta,Kürt basın tarihindeki 22 Nisan tarihi neden önemlidir?,İlk Kürt gazetesi Kürdistan’ın yayımlanmasıyla ilişkilidir,Erbil Kalesi’nin inşasıdır,Mahabad’ın yıkılışıdır,KRG’nin kurulmasıdır,A,İlk Kürt gazetesi Kürdistan’ın yayımlanmasıyla ilişkilidir,"22 Nisan 1898, ilk Kürt gazetesi Kürdistan’ın çıkış tarihiyle ilişkilendirilir.","22 Nisan, Kürt gazeteciliği, basın günü",https://doaj.org/article/722cc50860b24dc68424aac624e6c710
ZK043,Edebiyat ve Basın,Orta,Hawar dergisi Kürtçe için özellikle hangi katkıyla hatırlanır?,Latin temelli Kürt alfabesinin yaygınlaşması,Kürtçeyi yasaklaması,Sadece Arapça yayın yapması,Hiç yazı yayımlamaması,A,Latin temelli Kürt alfabesinin yaygınlaşması,"Hawar çevresi, Latin temelli Kürt alfabesinin standartlaşması ve modern Kurmancî yazısı açısından önemlidir.","Hawar, alfabe, modern Kürtçe",https://nykcc.org/langauge/hawar-archive/
ZK044,Edebiyat ve Basın,Zor,Kürt edebiyatında sözlü kültürden modern romana geçişte hangi kaynak özellikle besleyici olmuştur?,"Masallar, destanlar ve dengbêj anlatıları",Sadece banka raporları,Sadece denizci haritaları,Sadece teknik çizimler,A,"Masallar, destanlar ve dengbêj anlatıları","Modern Kürt edebiyatında sözlü miras, kimlik, yer ve dil bilincini taşıyan güçlü bir kaynak olarak kullanılmıştır.","sözlü kültür, roman, dengbêj",https://fanack.com/culture/features-insights/kurdish-storytelling-tradition~126090/
ZK045,Edebiyat ve Basın,Orta,Cegerxwîn en çok hangi alanda tanınan Kürt figürüdür?,Şair ve yazar,Fizikçi,Deniz kaptanı,Roma imparatoru,A,Şair ve yazar,"Cegerxwîn, modern Kürt şiiri ve politik-kültürel edebiyat içinde öne çıkan bir isimdir.","Cegerxwîn, şiir, modern edebiyat",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK046,Edebiyat ve Basın,Orta,Melayê Cizîrî hangi edebi gelenekte anılır?,Klasik Kürt şiiri,Modern Fransız tiyatrosu,Antik Yunan destanı,Japon haiku geleneği dışında hiçbir şey,A,Klasik Kürt şiiri,"Melayê Cizîrî, klasik Kürt şiirinin önemli isimleri arasında sayılır.","Melayê Cizîrî, klasik şiir, edebiyat",https://www.iranicaonline.org/articles/kurdish-written-literature/
ZK047,Edebiyat ve Basın,Kolay,“Kilam” kelimesi Kürt kültüründe en çok neyle ilişkilidir?,Türkü/ezgili söz,Taş ocağı,Para birimi,Deniz aracı,A,Türkü/ezgili söz,"Kilam, dengbêjlik ve halk müziği bağlamında ezgili söz/halk şarkısı anlam alanına girer.","kilam, müzik, sözlü kültür",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK048,Edebiyat ve Basın,Zor,Kürtçe edebiyatta “dil canlandırması” neyi ifade eder?,"Kürtçenin yazı, yayın, eğitim ve dijital üretimde görünürlüğünü artırmayı",Dili tamamen bırakmayı,Sadece başka dillere çeviri yapmayı,Dil öğrenimini yasaklamayı,A,"Kürtçenin yazı, yayın, eğitim ve dijital üretimde görünürlüğünü artırmayı","Dil canlandırması, baskı ve kaynak eksikliği yaşamış dillerin kamusal, edebi ve dijital kullanım alanlarını güçlendirme çabasıdır.","dil canlandırması, yayın, eğitim",https://arxiv.org/abs/1909.11467
ZK049,Sanat ve Kültür,Kolay,Newroz Kürt kültüründe en çok hangi temalarla sembolleşir?,"Bahar, yenilenme ve özgürlük/direniş",Kış uykusu ve sessizlik,Denizcilik ve balıkçılık,Tamamen ticari alışveriş,A,"Bahar, yenilenme ve özgürlük/direniş","Newroz, baharın gelişi yanında Kürt kolektif hafızasında özgürlük ve direniş sembolü olarak da görülür.","Newroz, bahar, özgürlük",https://www.unesco.org/en/days/nowruz
ZK050,Sanat ve Kültür,Kolay,Newroz genellikle hangi tarihle ilişkilendirilir?,21 Mart,1 Ocak,30 Ağustos,29 Ekim,A,21 Mart,"UNESCO ve BM düzeyinde Nowruz/Newroz, 21 Mart ve bahar ekinoksu çevresiyle ilişkilendirilir.","Newroz, 21 Mart, bahar",https://www.unesco.org/en/days/nowruz
ZK051,Sanat ve Kültür,Orta,Dengbêjlikte sanatçının temel aracı çoğu zaman nedir?,Ses ve hafıza,Sadece elektronik davul,Sessiz mimik,Matbaa makinesi,A,Ses ve hafıza,"Dengbêjler toplumsal hafızayı ses, ezgi ve uzun anlatılarla aktarır.","dengbêj, ses, hafıza",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK052,Sanat ve Kültür,Kolay,Govend/Halparke neyi ifade eder?,Toplu halk dansı,Tek kişilik satranç türü,Bir yazı alfabesi,Bir yemek türü,A,Toplu halk dansı,"Govend veya Halparke, Kürt düğün ve kutlamalarında görülen toplu halk danslarını ifade eder.","govend, halay, halk dansı",https://fanack.com/culture/features-insights/kurdish-storytelling-tradition~126090/
ZK053,Sanat ve Kültür,Orta,Kürt kültüründe def ve tembûr hangi alanla ilişkilidir?,Müzik ve ritüel/ezgi geleneği,Sadece tarım makineleri,Savaş gemileri,Mimari ölçüm,A,Müzik ve ritüel/ezgi geleneği,"Def ve tembûr, Kürt ve bölge müzik geleneklerinde ritim ve ezgi taşıyan önemli çalgılardır.","def, tembûr, müzik",https://fanack.com/culture/features-insights/kurdish-storytelling-tradition~126090/
ZK054,Sanat ve Kültür,Orta,Kürt kilimleri ve dokumaları kültür araştırmalarında neden önemlidir?,"Gündelik yaşam, motif ve yerel estetik bilgisini taşıdığı için",Sadece plastikten üretildiği için,Hiç motif içermediği için,Yalnızca yazılım kodu olduğu için,A,"Gündelik yaşam, motif ve yerel estetik bilgisini taşıdığı için","Dokuma ve motifler, toplulukların yerel hafıza, üretim ve estetik dünyasına dair ipuçları taşır.","kilim, motif, zanaat",https://www.britannica.com/topic/Kurd
ZK055,Sanat ve Kültür,Kolay,Kürt düğün kültüründe topluluk duygusunu en çok güçlendiren unsurlardan biri hangisidir?,Halka biçiminde toplu dans,Herkesin ayrı odada kalması,Tam sessizlik zorunluluğu,Sadece çevrim içi form doldurma,A,Halka biçiminde toplu dans,"Govend/halay, ritim ve ortak hareketle kolektif aidiyeti görünür kılar.","düğün, govend, kolektiflik",https://fanack.com/culture/features-insights/kurdish-storytelling-tradition~126090/
ZK056,Sanat ve Kültür,Orta,Kürt kültüründe ağıtlar hangi işleve sıkça sahiptir?,"Acıyı, kaybı ve toplumsal hafızayı aktarmak",Yalnızca matematik öğretmek,Ticari sözleşme yapmak,Deniz pusulası üretmek,A,"Acıyı, kaybı ve toplumsal hafızayı aktarmak","Ağıtlar, bireysel yasın yanında toplumsal olayların ve kolektif acının hafızasını taşır.","ağıt, hafıza, yas",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK057,Sanat ve Kültür,Zor,"Dengbêjlik neden sadece “müzik” olarak değil, aynı zamanda tarihsel bellek olarak da görülür?","Çünkü aşiret, göç, aşk, savaş, yas ve direniş anlatılarını kuşaktan kuşağa aktarır",Çünkü sadece enstrüman satışı yapar,Çünkü yazı kullanmayı yasaklar,Çünkü modern toplumla hiç ilişkisi yoktur,A,"Çünkü aşiret, göç, aşk, savaş, yas ve direniş anlatılarını kuşaktan kuşağa aktarır","Dengbêj repertuvarı, yazılı arşivlerin eksik kaldığı yerlerde toplumsal anlatı ve bellek işlevi görür.","dengbêj, tarihsel bellek, arşiv",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK058,Sanat ve Kültür,Kolay,Kürtçe “rengîn” kelimesi kültürel betimlemelerde ne anlama gelir?,Renkli,Sessiz,Susuz,Karanlık,A,Renkli,"Rengîn, renkli anlamıyla kültürel çeşitlilik ve estetik betimlemelerde kullanılabilir.","rengîn, Kürtçe, estetik",https://www.britannica.com/topic/Kurdish-language
ZK059,Sanat ve Kültür,Orta,UNESCO listesinde yer alan Erbil Kalesi nasıl bir yerleşim örneğidir?,Höyük üzerinde gelişmiş eski tahkimli yerleşim,Modern havaalanı terminali,Tamamen yüzer ada,Yeraltı metro hattı,A,Höyük üzerinde gelişmiş eski tahkimli yerleşim,"UNESCO, Erbil Kalesi’ni höyük üzerinde gelişmiş nadir bir eski tahkimli yerleşim örneği olarak tanımlar.","Erbil Kalesi, höyük, UNESCO",https://whc.unesco.org/en/list/1437/
ZK060,Sanat ve Kültür,Orta,Hevsel Bahçeleri’nin kültürel önemi en iyi hangi ifadeyle anlatılır?,Diyarbakır Surları ile Dicle arasında tarihsel peyzaj ve üretim alanı olması,Tamamen çöl olması,Hiç insan yerleşimiyle bağı olmaması,Sadece sanayi bacalarından oluşması,A,Diyarbakır Surları ile Dicle arasında tarihsel peyzaj ve üretim alanı olması,"Hevsel, surlar ve Dicle arasındaki tarihsel peyzajın canlı bir parçası olarak değerlendirilir.","Hevsel, peyzaj, Dicle",https://whc.unesco.org/en/list/1488/
ZK061,Yemek ve Gündelik Yaşam,Kolay,Kürt mutfağında dolma/yaprax en genel olarak nedir?,İç harçla doldurulan sebze veya yaprak yemeği,Sadece tatlı şerbet,Kuru ekmek kırıntısı,Bir müzik aleti,A,İç harçla doldurulan sebze veya yaprak yemeği,"Kürt mutfağında dolma veya yaprax, yaprak ve sebzelerin pirinçli/etli harçla doldurulmasıyla yapılır.","dolma, yaprax, yemek",https://austria.gov.krd/en/tourism-in-kurdistan/
ZK062,Yemek ve Gündelik Yaşam,Kolay,Kürt misafirperverliğinde en yaygın ikramlardan biri hangisidir?,Çay,Sadece buz,Karton para,Deniz tuzu heykeli,A,Çay,"Bölgesel yemek kültüründe çay, ev içi ve toplumsal misafirliklerin temel ikramlarından biridir.","çay, misafirperverlik, gündelik yaşam",https://austria.gov.krd/en/tourism-in-kurdistan/
