id,category,difficulty,sorun,prompt,answers,correct,explanation
offline_2227,Dîrok,2,answers,Di vegotina Newrozê de sembola berxwedana li dijî zalim kî ye?,Şeref Han Bitlisi | Kawa/Kave Demirci | Beylik (mîrlik) | Irak Cumhurbaşkanı,Kawa/Kave Demirci,"Kürt Newroz anlatısında Kawa, Dehak/Zahhak zulmüne karşı başkaldırının sembol figürüdür."
offline_2231,Ziman,2,answers,Kurmancî û Soranî wek du zaravayên girîng ên çi têne zanîn?,Kürtçe | Arapça | Yunanca | Rusça,Kürtçe,"Kurmancî ve Soranî, Kürtçe denildiğinde en yaygın iki ana lehçe/standart olarak öne çıkar."
offline_2232,Ziman,3,answers,Kurmancî bi piranî bi kîjan pergala nivîsandinê tê nivîsandin?,Latin kökenli Hawar alfabesi | Kiril alfabesi dışında hiçbir alfabe | Çivi yazısı | Japon kana sistemi,Latin kökenli Hawar alfabesi,"Kurmancî, özellikle Türkiye ve Suriye bağlamında Latin temelli Hawar alfabesiyle yaygınlaşmıştır."
offline_2233,Ziman,3,answers,Soranî li Iraq û Îranê bi piranî bi kîjan pergala nivîsê tê nivîsandin?,Arap temelli Kürt alfabesi | Latin Hawar alfabesi dışında hiç yazılmaz | Runik yazı | Gürcü alfabesi,Arap temelli Kürt alfabesi,"Soranî, Irak ve İran’da Arap temelli Kürt alfabesiyle yaygın biçimde yazılır."
offline_2237,Ziman,2,answers,Di kurdî de peyva “heval” bi giştî tê çi wateyê?,Arkadaş/yoldaş | teşekkürler | Erkek kardeş | Gelecek zaman,Arkadaş/yoldaş,"Heval, gündelik kullanımda arkadaş; siyasal-kolektif bağlamda yoldaş anlamında kullanılır."
offline_2241,Ziman,4,answers,Di xebatên naskirina axaftina kurdî de projeya Jira di kîjan qadê de wek mînak tê nîşandan?,"Kullanıcı seviyesine göre soru seçmeyi | Temel sözvarlığı ve kültürel kavramları tanıma | Kategori, seçenek, doğru cevap ve açıklama içeren yapı | Merkezî Kürtçe/Soranî için konuşma korpusu ve tanıma sistemi",Merkezî Kürtçe/Soranî için konuşma korpusu ve tanıma sistemi,"Jira, Merkezî Kürtçe için konuşma korpusu ve büyük sözvarlıklı konuşma tanıma çalışması olarak sunulmuştur."
offline_2246,Edebiyat,2,answers,Rojnameya Kurdî ya pêşîn kîjan navî hildigire?,Kürdistan | Hawar | Azadiya Welat | Rojnameya Nû,Kürdistan,"Kürdistan gazetesi, ilk Kürt gazetesi olarak basın tarihinde özel bir yere sahiptir."
offline_2248,Edebiyat,3,answers,Kovara Hawar bi taybetî bi kîjan tevkariyê tê bibîranîn?,Latin temelli Kürt alfabesinin yaygınlaşması | Birçok yazarın yurt dışında üretmesi nedeniyle | Modern dönemde roman/gazete gibi türlerin gelişmesi | Sözlü anlatı ve ezgili hikâye aktarımı,Latin temelli Kürt alfabesinin yaygınlaşması,"Hawar çevresi, Latin temelli Kürt alfabesinin standartlaşması ve modern Kurmancî yazısı açısından önemlidir."
offline_2261,Çand,3,answers,Di çanda Kurdî de zêmar bi giştî xwedî kîjan fonksiyonê ne?,"Misafirperverlik ve ilişki kurma isteğini | Acıyı, kaybı ve toplumsal hafızayı aktarmak | Bahar, yenilenme ve özgürlük/direniş | İranlılar ve birçok halk (Nevruz olarak)","Acıyı, kaybı ve toplumsal hafızayı aktarmak","Ağıtlar, bireysel yasın yanında toplumsal olayların ve kolektif acının hafızasını taşır."
offline_2266,Çand,2,answers,Di pêjgeha Kurdî de dolma/yaprax bi awayekî giştî çi ye?,"İç harçla doldurulan sebze veya yaprak yemeği | Acıyı, kaybı ve toplumsal hafızayı aktarmak | Kültürel aidiyet ve coğrafi hafızayı | Özgün dini-kültürel topluluk ve tarihsel travmalar",İç harçla doldurulan sebze veya yaprak yemeği,"Kürt mutfağında dolma veya yaprax, yaprak ve sebzelerin pirinçli/etli harçla doldurulmasıyla yapılır."
offline_2270,Çand,3,answers,Li ser sifreyên kurdî parvekirina xwarinê bi sêniya mezin an pêşkêşiya hevpar çi xurt dike?,Topluluk ve aile bağlarını | Tam bireysel izolasyonu | Yemek yasağını | Sessiz sınav düzenini,Topluluk ve aile bağlarını,"Ortak sunum ve paylaşım, aile, komşuluk ve misafirlik ilişkilerini güçlendiren kültürel pratiklerdir."
offline_2271,Çand,2,answers,Vexwarina ji cureyê Dew/doogh bi kîjan madeya sereke re têkildar e?,Yoğurt/ayran | Kahve likörü | Sadece limon kabuğu | Mısır unu,Yoğurt/ayran,"Dew/doogh, yoğurt temelli ferahlatıcı bir içecek geleneğiyle ilişkilidir."
offline_2276,Çand,3,answers,Cihêrengiya xwarinên herêmî yên kurdî çima nikare bibe yek rêçeteyeke standard?,"Resmi arşivlerde görünmeyen deneyimleri ve hafızayı kaydedebildiği için | Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı | Müslüman çoğunluk yanında Ezidi, Alevi, Yarsanî/Ehl-i Hak ve başka inanç toplulukları da vardır | Bölge, lehçe, iklim, tarım ve komşu mutfaklarla etkileşim farklı olduğu için","Bölge, lehçe, iklim, tarım ve komşu mutfaklarla etkileşim farklı olduğu için",Kürt coğrafyası geniş olduğu için malzemeler ve tarif adları bölgeden bölgeye değişebilir.
offline_2292,Paradigma,3,answers,Jineolojî çawa dikare bi awayekî herî kurt were ravekirin?,"Eğitim uygulaması için güvenli, analitik ve demokratik öğrenme amaçlandığı için | Kadın özgürlüğünü toplumsal özgürlüğün temeli görmeyi | Doğayı yalnızca sömürü nesnesi olarak görmemesiyle | Kadın bilgisi/bilimi ve patriyarka eleştirisi etrafında gelişen yaklaşım",Kadın bilgisi/bilimi ve patriyarka eleştirisi etrafında gelişen yaklaşım,"Jineolojî, kadın özgürlüğü, toplumsal cinsiyet, tarih ve bilgi üretimini yeniden düşünmeye odaklanan bir yaklaşımdır."
offline_2304,Çand,3,answers,Êzidî di erdnîgariya çandî ya kurdî de bi taybetî bi kîjan sernavî têne bibîranîn?,"Acıyı, kaybı ve toplumsal hafızayı aktarmak | İranlılar ve birçok halk (Nevruz olarak) | Özgün dini-kültürel topluluk ve tarihsel travmalar | Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı",Özgün dini-kültürel topluluk ve tarihsel travmalar,"Ezidiler, Kürtçe konuşan/kimliklenen topluluklar arasında özgün inanç yapıları ve yakın dönem travmalarıyla öne çıkar."
offline_2305,Çand,2,answers,Di nasnameya kurdî de ziman çima xwedî girîngiyeke navendî ye?,"Farklı halkların eşitlik ve barış içinde ortak yaşamını | İç harçla doldurulan sebze veya yaprak yemeği | Kültürel hafıza, edebiyat, sözlü anlatı ve aidiyet taşıdığı için | Bölge, lehçe, iklim, tarım ve komşu mutfaklarla etkileşim farklı olduğu için","Kültürel hafıza, edebiyat, sözlü anlatı ve aidiyet taşıdığı için","Dil, dengbêjlikten edebiyata ve günlük yaşama kadar kültürel hafızanın ana taşıyıcılarındandır."
offline_2307,Çand,3,answers,Di civaka kurdî de avahiyên eşîrî di dîrokê de xwedî kîjan fonksiyonê bûne?,"Tavuk ve pirinçle yapılan geleneksel yemek | Dil, kültür, yayıncılık, dayanışma ve kimlik aktarımı | İç harçla doldurulan sebze veya yaprak yemeği | Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı","Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı",Aşiret yapıları tarihsel olarak sosyal dayanışma ve siyasal otorite ağlarının bir parçası olmuştur.
offline_2312,Çand,2,answers,Fêrbûna navên cihan ên kurdî di sepanekê de çi xurt dike?,Kültürel aidiyet ve coğrafi hafızayı | Kullanıcıyı tamamen yanıltmayı | Dil görünürlüğünü azaltmayı | Soruları anlamsızlaştırmayı,Kültürel aidiyet ve coğrafi hafızayı,"Yer adları, coğrafyayı yalnızca harita değil, hafıza ve kimlik alanı olarak da öğretir."
offline_2314,Ziman,2,answers,Di sepaneke fêrbûnê ya wek ZanKurd de forma herî kêrhatî ya banka pirsan kîjan e?,"Geçmiş zamanlı geçişli fiillerde | Soranî ders kitaplarından oluşan metin korpusu | Bilginin doğrulanabilirliğini artırır | Kategori, seçenek, doğru cevap ve açıklama içeren yapı","Kategori, seçenek, doğru cevap ve açıklama içeren yapı","Uygulama için kategori, seçenekler, cevap ve açıklama alanları veri tabanı veya CSV aktarımını kolaylaştırır."
offline_2322,Ziman,4,answers,Di bankeke pirsan de qada “etîket” ji bo kîjan karê teknîkî ye?,"Kısa açıklama ve doğru cevabın nedeni | Kategori, seçenek, doğru cevap ve açıklama içeren yapı | Arama, filtreleme ve kişiselleştirilmiş tekrar sistemi kurmaya | Kavram, tarih, kurum ve haklar üzerinden nesnel bağlam vermek","Arama, filtreleme ve kişiselleştirilmiş tekrar sistemi kurmaya","Etiketler, uygulamada kategori içi filtreleme ve zayıf konu tekrarları için kullanılabilir."
offline_2324,Ziman,3,answers,Di banka pirsan de pirsên siyaseta rojane çima divê bi rêkûpêk bêne nûkirin?,"Kullanıcının sadece ezber değil, bağlam öğrenmesini sağladığı için | Kaynak, telif ve temsil doğruluğuna dikkat etmek | Merkezî Kürtçe/Soranî için konuşma korpusu ve tanıma sistemi | Parti adları, süreçler, hukuki statüler ve barış görüşmeleri zamanla değişebildiği için","Parti adları, süreçler, hukuki statüler ve barış görüşmeleri zamanla değişebildiği için",2025-2026 barış ve silahsızlanma tartışmaları gibi konular güncel gelişmelere bağlıdır; düzenli kaynak kontrolü gerekir.
offline_2328,Paradigma,2,answers,"Di slogana ""Jin, jiyan, azadî"" de ""jiyan"" tê çi wateyê?",Yaşam | Kadın | Onur | Özgürlük,Yaşam,"Slogan ""kadın (jin), yaşam (jiyan), özgürlük (azadî)"" anlamına gelir."
offline_2329,Paradigma,3,answers,Sê tewereyên bingehîn ên Demokratik konfederalizmin kîjan in?,"Kadın özgürlüğü, ekoloji ve demokrasi | Piyasa, mülkiyet ve rekabet | Sanayileşme, kalkınma ve refah | Ulus, bayrak ve vatan","Kadın özgürlüğü, ekoloji ve demokrasi","Paradigmanın temel eksenleri kadın özgürlüğü, ekolojik toplum ve taban demokrasisidir."
offline_2336,Siyaset,4,answers,Demokrasiya radîkal bi kîjan aliyê xwe ji demokrasiya temsîlî ya klasîk vediqete?,Kararları teknokratlara bırakır | Temsilcilere tam yetki devreder | Tabandan doğrudan ve sürekli katılımı önceler | Yalnızca referandumla yönetir,Tabandan doğrudan ve sürekli katılımı önceler,"Radikal demokrasi, kararları seçilmişlere devretmek yerine tabandan doğrudan ve sürekli katılımı esas alır."
offline_2349,Muzîk,3,answers,Ji cihê ku dengbêj lê dicivin û distirên re çi tê gotin?,Sûriye | Şarkı | Meydan | Dîwan,Dîwan,Dengbêjlerin toplanıp sırayla icra ettiği ortama dîwan (dîwana dengbêjan) denir.
