id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,source_url,source_verified,confidence,publication_status,issue_type,review_notes
cografya_20260801_0023,Cografya,ku-kmr,Kengî herikîna axê dikare li binê geliyekê goleke nû çêbike?,Dema ku bayê nerm li ser deştê diherike,Dema ku tav li ser çiyayê dikeve,Dema ku qalik an axa ketî ava çemê asteng dike,Dema ku çemek bi navê nû tê binavkirin,C,Dema ku qalik an axa ketî ava çemê asteng dike,Nivîs rave dike ku qalikê ku ji şemitînê dadikeve dikare ava çemê asteng bike û di bin geliyê de goleke nû pêk bîne.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Pêwendiya sedem û encamê zelal e.
cografya_20260801_0024,Cografya,ku-kmr,"Li gorî nivîsê, çavkaniyên madenî yên Îranê çawa belav bûne?",Tenê li bakurê welatê ne,Tenê li nav bajarên mezin in,Tenê li dora deryaya Qezwînê ne,Li seranserê welatê belav in,D,Li seranserê welatê belav in,Nivîs dibêje ku dewlemendiya madenî bi geşedana erdnasî ve girêdayî ye û çavkaniyên madenî li seranserê welatê belav in.,2,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Dabeşbûna madenan rasterast ji çavkaniyê ye.
cografya_20260801_0025,Cografya,ku-kmr,Kîjan kom ji çavkaniyên erdnasî re di nivîsê de ji hêla aborî ve giringtir tê hesibandin?,"Köm, neft û gaz","Qûm, heriyê û ax","Dar, gîha û berf","Sangê sivik, av û bayê",A,"Köm, neft û gaz","Nivîs dibêje ku ji bilî kömê, neft û gazê, madencî li gelek deveran aboriya kêm girîngtir heye.",3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Rêzkirina çavkaniyan di nivîsê de ye.
cografya_20260801_0026,Cografya,ku-kmr,Depoyên hesinê li gorî nivîsê bi taybetî li kîjan herêman kom dibin?,Li tenişta Kendava Bengalê,Li başûrê Elborzê û li dorê Kembera Volkanîk,Li bakurê çiyayên Andê,Li nav deştên Amazonê,B,Li başûrê Elborzê û li dorê Kembera Volkanîk,Nivîs depoyên hesinê bi taybetî di navbera başûrê Elborzê û Kembera Volkanîkê de dide naskirin.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Cihê depoyên hesinê piştî nivîsê hatiye parastin.
cografya_20260801_0027,Cografya,ku-kmr,Madenên Bafqê ji bo kîjan navenda pîşesaziya hesinê girîng in?,Kargeha Çimentoyê ya Şîrazê,Benderê Bazirganî yê Tebrizê,Kargeha Poladê ya Îsfahanê,Navenda Neftê ya Makranê,C,Kargeha Poladê ya Îsfahanê,Nivîs Bafqê wekî peydakerekî girîng ji bo Kargeha Poladê ya Îsfahanê dide naskirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Têkiliya Bafq û Îsfahan di çavkaniyê de heye.
cografya_20260801_0028,Cografya,ku-kmr,Madenên misê li gorî nivîsê bi taybetî bi kîjan cûreya zinarê re têkildar in?,Zinarên qeşayî yên Antarktîkayê,Zinarên bazaltî yên deryaya Qezwînê,Zinarên şor ên deştê,Zinarên volkanîk ên Tertiyerî,D,Zinarên volkanîk ên Tertiyerî,Nivîs dibêje ku depoyên misê bi girîngî di herêmên zinarên volkanîk ên Tertiyerî de tên dîtin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Pêwendiya maden û cûreya zinarê piştrast e.
cografya_20260801_0029,Cografya,ku-kmr,Kîjan herêmên misê di nivîsê de wekî dewlemendtir tên behskirin?,"Çahar Gonbad, Enarek û Sarçeşme","Bafq, Tehran û Makran","Ramez, Behbehan û Dehdeşt","Semnan, Zencan û Šahrûd",A,"Çahar Gonbad, Enarek û Sarçeşme",Nivîs Çahar Gonbad û Enarekê wekî depoyên dewlemend nîşan dide û Sarçeşmeyê jî wekî madeneke pir mezin nêzî Kermanê behs dike.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Navên depoyan ji çavkaniyê hatine hilbijartin.
cografya_20260801_0030,Cografya,ku-kmr,Depoyên ser û zincê li gorî nivîsê bi taybetî li kîjan beşa Îranê kom dibin?,Tenê li deştên Qezwînê de,Di Îrana Navîn de,Li ser hemû giravên Kendava Farisî,Tenê li başûrê Makranê,B,Di Îrana Navîn de,Nivîs ser û zincê bi taybetî li Îrana Navîn kom dibin û li hin deveran kargeh tên plansazkirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Cihê kom bûna ser û zincê rasterast hatiye dayîn.
cografya_20260801_0031,Cografya,ku-kmr,"Kîjan maden li nêzîkî Bāft, Sabzavār û Bandar-e ʿAbbās di nivîsê de tê behskirin?",Fosfat,Köm,Kromît,Hesin,C,Kromît,"Nivîs kromîtê li nêzîkî Bāft, Sabzavār û Bandar-e ʿAbbās di nav çavkaniyên din ên madenî de dide lîstekirin.",3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Navên cihan û madenê li çavkaniyê tên.
cografya_20260801_0032,Cografya,ku-kmr,Madencîna kömê li gorî nivîsê ji kîjan serdemê ve bûye karêkî girîng?,Ji sedsala pêncan ve,Tenê piştî sala 2000 ve,Ji dema antîkê ve bê rawestan,Ji sedsala nozdehan ve,D,Ji sedsala nozdehan ve,"Nivîs dibêje ku ji sedsala nozdehan ve madencîna kömê, bi taybetî li derdora Tehran û Elborzê, bûye kareke girîng.",3,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Dem di çavkaniyê de bi awayekî dîrokî hatiye dayîn.
cografya_20260801_0033,Cografya,ku-kmr,Kîjan herêmên kömê di nivîsê de tên naskirin?,"Elborz, derdora Tehran û parêzgeha Kermanê",Deştên Qezwînê û deryaya Bengalê,Çiyayên Andê û Alpê,Kawkaz û giravên Okyanûsa Pasîfîkê,A,"Elborz, derdora Tehran û parêzgeha Kermanê","Nivîs çavkaniyên kömê li Elborzê, li derdora Tehranê û her ku diçe zêdetir li parêzgeha Kermanê dide naskirin.",3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Lîsteya cihan ji nivîsê hatiye girtin.
cografya_20260801_0034,Cografya,ku-kmr,Qasî çiqas rezervên fosfatê yên pejirandî di nivîsê de tên texmînkirin?,Nêzîkî 50 milyon ton,Nêzîkî 500 milyon ton,Nêzîkî 5 milyon ton,Nêzîkî 5 milyar ton,B,Nêzîkî 500 milyon ton,Nivîs rezervên fosfatê yên pejirandî bi texmîna 500 milyon ton dide naskirin û dibêje ku ev ji bo hewcedariya salane têra dike.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Jimare û şertên wê ji çavkaniyê ne.
cografya_20260801_0035,Cografya,ku-kmr,Bafq di belavbûna fosfatê de çi cih digire?,Tenê navendeke kömê ye,Ji herêmên ku fosfat lê tune ye,Yek ji navendên sereke yên fosfatê ye,Navendeke tenê ji bo kromîtê ye,C,Yek ji navendên sereke yên fosfatê ye,Nivîs Bafqê li parêzgeha Yazdê wekî yek ji navendên sereke yên depoyên fosfatê dide naskirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Cih û rola Bafqê piştrast e.
cografya_20260801_0036,Cografya,ku-kmr,Neft û gaz di avahiya geologîk a Îranê de bi kîjan pêvajoyê re têkildar in?,Bi kêm bûna rêzeya Elborzê,Bi çêbûna deştên Qezwînê,Bi qeşabûna çiyayên Khorasanê,Bi bilindbûna rêzeya çiyayên Zagrosê,D,Bi bilindbûna rêzeya çiyayên Zagrosê,Nivîs rezervên neft û gazê bi bilindbûna pergala çiyayî ya Zagrosê ve girê dide.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Pêwendiya geologîk rasterast di nivîsê de ye.
cografya_20260801_0037,Cografya,ku-kmr,Dîtina şilandina neft û gazê li başûrrojavayê Îranê çi encam da?,Dîtin û pêşxistina pîşesaziya neftê,Girtina hemû madenên misê,Pêkhatina gola Wanê,Kêm bûna çalakiya erdhejî,A,Dîtin û pêşxistina pîşesaziya neftê,Nivîs dibêje ku delîlên kevnar ên şilandina neft û gazê li lingên Zagrosê bûn sedema dîtin û pêşxistina pîşesaziya girîng a neftê.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Sedem û encam ji beşa çavkaniyê ne.
cografya_20260801_0038,Cografya,ku-kmr,Di nivîsê de kîjan herêm wekî herêma ku ji derya û okyanûsan re têkiliya rasterast tune ye tê ravekirin?,Deştên Kendava Farisî,Îrana Navîn û platoya wê,Deryaya Qezwînê,Kembera Volkanîk,B,Îrana Navîn û platoya wê,Avahiya çiyayên derdorê Îrana Navîn dike hewzeke hundirîn û rê li ber têkiliya rasterast bi okyanûsan re digire.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Cevab bi têgeha hewza hundirînê re hevgirtî ye.
cografya_20260801_0039,Cografya,ku-kmr,"Kîjan dabeşkirin li gorî nivîsê ji ya din cuda ye, lê her du li ser heman avahiya geologîk a Îranê radiwestin?",Dabeşkirina Elborzê a du herêman û ya Zagrosê a sê herêman,Dabeşkirina Kermanê a çar madenan û ya Yazdê a pênc madenan,Dabeşkirina Stöcklin a neh herêman û ya Harrison a heşt herêman,Dabeşkirina Qezwînê a heft golan û ya Makranê a neh çeman,C,Dabeşkirina Stöcklin a neh herêman û ya Harrison a heşt herêman,Nivîs du awayên dabeşkirina avahiya Îranê beramberî dike: Stöcklin neh herêm û Harrison heşt herêm dide naskirin.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Berawirdkirin li ser du dabeşkirinên çavkaniyê ye.
cografya_20260801_0040,Cografya,ku-kmr,"Li gorî nivîsê, avahiya geologîk ji bo xeterên xwezayî çima girîng e?",Ji ber ku ew tenê rengê axê diguhere,Ji ber ku ew hemû baranê ji welatê dûr dixe,Ji ber ku ew çemên nû bê sedem çêdike,"Ji ber ku ew şertên erdhej, herikîna axê û şemitîna axê bandor dike",D,"Ji ber ku ew şertên erdhej, herikîna axê û şemitîna axê bandor dike","Nivîs pêwendiya nêzîk a avahiya geologîk bi erdhejan, herikînên axê û şemitîna axê re nîşan dide.",3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Pêwendiya mijarê bi çavkaniyê re zelal e.
agent_dirok_20260801_0001,Dîrok,ku-kmr,"Li gorî nivîsa Encyclopaedia Iranica, mijara serdest a gelek berhemên li ser dîroka nûjen a Kurdan çi ye?",Pêşketina bazirganiya navçeyî,Têkoşîna ji bo diyarkirina çarenûsa xwe,Dîroka hunera mîmarî,Danasîna şervanên serdema kevn,B,Têkoşîna ji bo diyarkirina çarenûsa xwe,Nivîsê dibêje ku mijara sereke ya gelek lêkolînan têkoşîna Kurdan ji bo diyarkirina çarenûsa wan e.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Rast bi mijara sereke re.
agent_dirok_20260801_0002,Dîrok,ku-kmr,Di nivîsê de dîroka nûjen a Kurdan bi taybetî li ser kîjan çar welatan tê nîqaşkirin?,"Iraq, Sûriye, Lubnan û Misir","Tirkiye, Iraq, Îran û Sûriye","Îran, Afganistan, Ermenistan û Gurcistan","Tirkiye, Iraq, Urdun û Sûriye",B,"Tirkiye, Iraq, Îran û Sûriye",Nivîsê van çar welatan wekî cihên ku Kurd lê beşeke girîng a nifûsê pêk tînin nîşan dide.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Çar welatên nivîsê.
agent_dirok_20260801_0003,Dîrok,ku-kmr,"Hemû berhemên ku di lêkolîna kurt a nivîsê de hatine nîqaşkirin, piştî kîjan salê hatine weşandin?",1900,1923,1950,2000,C,1950,Di destpêka nivîsê de tê gotin ku hemû berhemên di vê lêkolîna kurtê de piştî sala 1950an hatine weşandin.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Dîrok û sal rast in.
agent_dirok_20260801_0004,Dîrok,ku-kmr,Kîjan pirtûk di nivîsê de wekî rêberê herî berfireh ji bo dîroka nûjen a Kurdan tê pêşniyarkirin?,"Agha, Shaikh and State",A Modern History of the Kurds,The Kurdish Republic of 1946,"Nationalism and Language in Kurdistan, 1918-1985",B,A Modern History of the Kurds,Nivîsê pirtûka David McDowall wekî yek ji rêberên herî berfireh ji bo dîroka nûjen a Kurdan binav dike.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Nav û nivîskar kontrol kirin.
agent_dirok_20260801_0005,Dîrok,ku-kmr,"Li gorî nivîsê, David McDowall berî Şerê Cîhanê Yê Yekem bi giranî kîjan serdemê dinivîse?",Sedsala 16an,Sedsala 17an,Sedsala 19an,Piştî sala 2000an,C,Sedsala 19an,Nivîsê dibêje ku McDowall ji bo dayîna çarçoveyeke giştî bi giranî li ser sedsala 19an û dîroka berî Şerê Cîhanê Yê Yekem radiweste.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.97,approved,,Mijar ji paragrafa McDowall.
agent_dirok_20260801_0006,Dîrok,ku-kmr,"Pirtûka Agha, Shaikh and State ya Martin van Bruinessen bi taybetî çi dide ber çavan?","Têkiliya eşîran, dewletê û tevgera neteweyî ya Kurdî",Dîroka şanoya klasîk a Kurdî,Pêşketina pergala perwerdehiya Japonê,Danasîna deryayên rojhilatê Îranê,A,"Têkiliya eşîran, dewletê û tevgera neteweyî ya Kurdî","Nivîsê balê dikişîne ser eşîr û ne-eşîr, têkiliya eşîran bi dewletê re û rewşa tevgera neteweyî ya Kurdî.",3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Mijarên pirtûkê rast hatin berhevkirin.
agent_dirok_20260801_0007,Dîrok,ku-kmr,"Li gorî nivîsê, tevgera Şêx Said di kîjan salê de tê nîqaşkirin?",1912,1925,1946,1970,B,1925,Nivîsê diyar dike ku van Bruinessen têkiliya mijarên civakî û siyasî di serhildana Şêx Said a sala 1925an de nîşan dide.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Sal bi nivîsê re hevaheng e.
agent_dirok_20260801_0008,Dîrok,ku-kmr,Kîjan berhem di nivîsê de wekî teza doktorayê ya ku di sala 1960an de hat pêşkêşkirin tê naskirin?,The Kurdish National Movement: Its Origins and Development,Kurdish Notables and the Ottoman State,Trapped between the Map and Reality,The Kurdish Question and the 2003 Iraqi War,A,The Kurdish National Movement: Its Origins and Development,Nivîsê berhema Wadie Jwaideh wekî teza doktorayê ya sala 1960an bi nav dike.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Berhem û sal rasterast in.
