candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_0025,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,The Panama Canal was officially opened by which US president?,Woodrow Wilson,Calvin Coolidge,Herbert Hoover,Theodore Roosevelt,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0026,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,Taipei 101,One Detroit Center,Westendstrasse 1,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0027,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"If a person's hair is described as 'Titian', what colour is it?",Red,Blonde,Brunette,Black,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0028,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What is the most-visited website out of these options?,Google,YouTube,Facebook,Wikipedia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0029,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,A statue of Charles Darwin sits in what London museum?,Natural History Museum,Tate,British Museum,Science Museum,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0030,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"The American company ""Campbell's"" is most well known for making what food product?",Canned soups,Chocolate,Soft drinks,Sausages,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0031,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,How tall is the Burj Khalifa?,"2,722 ft","2,717 ft","2,546 ft","3,024 ft",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0032,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?",4,3,5,6,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0033,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,Antibiotics are generally taken to combat what?,Bacterial infections,Viruses,Migraines,Muscular pains,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0034,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Computer manufacturer Compaq was acquired for $25 billion dollars in 2002 by which company?,Hewlett-Packard,Toshiba,Asus,Dell,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0035,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What element has the chemical symbol Kr?,Krypton,Kerosine,Kineticium,Curium,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0036,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What is the name of Poland in Polish?,Polska,Pupcia,Polszka,Póland,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0037,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What is the name of the extra pedal on a manual or standard transmission car?,Clutch,Shifter,Booster,Parking Brake,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0038,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Scotch whisky and Drambuie make up which cocktail?,Rusty Nail,Screwdriver,Sex on the Beach,Manhattan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0039,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,The Quadrangularis Reversum is best described as which of the following?,A percussion instrument,A building in Oxford University,A chess move,A geometric theorem,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0040,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,In DC comics where does the Green Arrow (Oliver Queen) live?,Star City,Central City,Gotham City,Metropolis,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0041,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"Of the following months, which has the most amount of days?",December,April,September,November ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0042,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,How many letters are there in the English alphabet?,26,28,23,24,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0043,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,Which sign of the zodiac comes between Virgo and Scorpio?,Libra,Gemini,Taurus,Capricorn,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0044,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"Which famed architect, who died in 2019 aged 102, designed the glass pyramid at the Louvre museum in Paris?",I. M. Pei,Pascale Guédot,Frank Gehry,Wang Shu,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0045,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,What is the most commonly used noun in the English language?,Time,Home,Water,Man,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0046,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"The lesser-known continuation of the saying ""Curiosity killed the cat..."" is:","""...but satisfaction brought it back.""","""...and the silent mouse remained thereat.""","""...which taught it not to do that.""","""...but death by the truth is better than ignorance.""",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0047,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,How many colors are there in a rainbow?,7,8,9,10,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0048,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What is the shortest month of the year?,February,December,April,September,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0049,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Whose greyscale face is on the kappa emoticon on Twitch?,Josh DeSeno,Justin DeSeno,John DeSeno,Jimmy DeSeno,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0050,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,Which of the following is not an Ivy League University?,Stanford,University of Pennsylvania,Harvard,Princeton,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0051,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,What nucleotide pairs with guanine?,Cytosine,Thymine,Adenine,Uracil,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0052,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,How many degrees Fahrenheit is 100 degrees Celsius? ,212,326,100,451,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0053,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is the standard atomic weight of a Plutonium nucleus?,244,94,481,128,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0054,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,Which of the following bones is not in the leg?,Radius,Patella,Tibia,Fibula ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0055,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,Deionized water is water with which of the following removed?,Iron,Oxygen,Hydrogen,Uncharged atoms,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0056,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,"The ""Tibia"" is found in which part of the body?",Leg,Arm,Hand,Head,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0057,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What is the atomic number of the element Strontium?,38,73,47,11,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0058,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is the powerhouse of the cell?,Mitochondria,Ribosome,Redbull,Nucleus,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0059,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,About what percentage of the Earth's surface is water? ,70%,30%,50%,90%,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0060,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is an example of a bacterial pathogen?,Cholera,Measles ,AIDS,Ringworm,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0061,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,"""The Big Bang Theory"" was first theorized by a priest of what religious ideology?",Catholic,Christian,Jewish,Islamic,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0062,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,Alzheimer's disease primarily affects which part of the human body?,Brain,Lungs,Skin,Heart,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0063,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,"What common name is given to the medial condition, tibial stress syndrome (MTSS)?",Shin Splints,Tennis Elbow,Carpal Tunnel,Housemaid's Knee,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0064,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob's Syndrome,Klinefelter's Syndrome,Turner's Syndrome,Down Syndrome,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0065,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,Which chemical element was originally known as Alabamine?,Astatine,Selenium,Antimony,Molybdenum,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0066,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,Which type of rock is created by intense heat AND pressure?,Metamorphic,Sedimentary,Igneous,Diamond,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0067,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,The medical condition osteoporosis affects which part of the body?,Bones,Skin,Brain,Heart,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0068,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,Which major extinction event was caused by an asteroid collision and eliminated the majority of non-avian dinosaurs?,Cretaceous-Paleogene,Triassic–Jurassic,Permian–Triassic,Ordovician–Silurian,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0069,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,71% of the Earth's surface is made up of,Water,Deserts,Continents,Forests,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0070,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is the elemental symbol for mercury?,Hg,Me,Mc,Hy,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0071,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,How many laws of thermodynamics are there?,Four,Three,Two,Five,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0072,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,Which is the chemical name of H2O?,Dihydrogen Monoxide,Ammonium chloride,Anhydrous Sodium Carbonate,Manganese dioxide,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0073,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,Which of these stars is the largest?,UY Scuti,VY Canis Majoris,Betelgeuse,RW Cephei,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0074,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What name is given to all baby marsupials?,Joey,Calf,Pup,Cub,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0075,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,"Botanically speaking, which of these fruits is NOT a berry?",Strawberry,Blueberry,Banana,Concord Grape,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0076,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What part of the brain takes its name from the Greek for seahorse?,Hippocampus,Cerebellum,Thalamus,Amygdala,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0077,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What animal takes part in Schrödinger's most famous thought experiment?,Cat,Dog,Bat,Butterfly,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0078,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,Gannymede is the largest moon of which planet?,Jupiter,Uranus,Neptune,Mars,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0079,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is the hottest planet in the solar system,Venus,Jupiter,Mercury ,Mars,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0080,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,"Where did the dog breed ""Chihuahua"" originate?",Mexico,France,Spain,Russia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0081,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,What is the most potent toxin known?,Botulinum toxin,Ricin,Cyanide,Asbestos,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0082,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,What was the first organic compound to be synthesized from inorganic compounds?,Urea,Propane,Ethanol,Formaldehyde,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0083,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,Which of the following is NOT a passive electrical component?,Transistor,Resistor,Capacitor,Inductor,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0084,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What are the smallest blood vessels in the human body?,Capillaries,Arterioles,Veinules,Lymphatics,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0085,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What is the molecular formula of the active component of chili peppers(Capsaicin)?,C18H27NO3,C21H23NO3,C6H4Cl2,C13H25NO4,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0086,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,"In aeronautics, flaps and slats are used to control what on an aircraft?",Lift,Thrust,Drag,Weight ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0087,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,Stars consist mainly of hydrogen and which other gas?,Helium,Oxygen,Argon,Nitrogen,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0088,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What term is best associated with Sigmund Freud?,Psychoanalysis,Cognitive-Behavioral Therapy,Theory of Gravity,Dialectical Behavior Therapy,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0089,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,Which of these is used to show that Earth spins on an axis? ,Foucault Pendulum ,Polaris,Sundial,Tectonic Plates ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0090,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,"This element, when overcome with extreme heat and pressure, creates diamonds.",Carbon,Nitrogen,Oxygen,Hydrogen,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0091,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,What is the same in Celsius and Fahrenheit?,-40,32,-39,-42,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0092,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What is the lowest layer of the Earth's atmosphere named?,Troposphere,Stratosphere,Mesosphere,Thermosphere,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0093,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,"What polymer is used to make CDs, safety goggles and riot shields?",Polycarbonate,Rubber,Nylon,Bakelite,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0094,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What is the atomic number of Uranium ,92,235,17,167,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0095,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?,Dunning-Kruger effect,Meyers-Briggs effect,Müller-Lyer effect,Freud-Hall effect,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0096,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,medium,"Which desert is the only desert in the world where the ""Saguaro"" cactus grows indigenously?",The Sonoran Desert,The Gobi Desert,The Yuma Desert,The Arabian Desert,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0097,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,What is the official name of the star located closest to the North Celestial Pole?,Polaris,Eridanus,Gamma Cephei,Iota Cephei,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0098,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,The human heart has how many chambers?,4,2,6,3,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0099,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,hard,Where in the human body is the Pineal Gland located?,Brain,Groin,Chest,Throat,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0100,Open Trivia Database API,CC BY-SA 4.0,Science & Nature,easy,Which element has the chemical symbol 'Fe'?,Iron,Gold,Silver,Tin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0101,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which of these countries is not a United Nations member state?,Niue,Tuvalu,South Sudan,Montenegro,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0102,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,How many time zones are in Russia?,11,8,5,2,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0103,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,How many provinces are in the Netherlands?,12,14,10,13,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0104,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,What is the capital of Scotland?,Edinburgh,Glasgow,Dundee,London,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0105,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,What is the name of the peninsula containing Spain and Portugal?,Iberian Peninsula,European Peninsula,Peloponnesian Peninsula,Scandinavian Peninsula,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0106,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,What was the original name of Ho Chi Minh City?,Saigon,Hanoi,Dar Es Salaam,Angkor Wat,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0107,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,Which nation claims ownership of Antarctica?,"No one, but there are claims.",United States of America,United Nations,Australia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0108,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,How many rivers are in Saudi Arabia?,0,1,2,3,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0109,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,How many US states start with the letter K?,Two,One,None,Three,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0110,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,Which city is the biggest in Canada?,Toronto,Montreal,Vancouver,Ottawa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0111,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which of the following is not a megadiverse country - one that harbors a high number of the earth's endemic species?,Thailand,Peru,Mexico,South Africa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0112,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,What state is the largest state of the United States of America?,Alaska,California,Texas,Washington,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0113,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which of these Japanese islands is the largest by area?,Shikoku,Iki,Odaiba,Okinawa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0114,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,What is the capital city of Bermuda?,Hamilton,Santo Dominigo,San Juan,Havana,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0115,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,What is the only state in the United States that does not have a flag in a shape with 4 edges?,Ohio,Florida,Idaho,New Mexico,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0116,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,What is the capital of Ecuador?,Quito,Bogota,Santiago,Santa Fé,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0117,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,In which English county is the city of Portsmouth?,Hampshire,Oxfordshire,Buckinghamshire,Surrey,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0118,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,What is the 15th letter of the Greek alphabet?,Omicron (Ο),Sigma (Σ),Pi (Π),Nu (Ν),A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0119,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,The mountainous Khyber Pass connects which of the two following countries?,Afghanistan and Pakistan,India and Nepal,Pakistan and India,Tajikistan and Kyrgyzstan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
