candidate_id,source,license,source_category,question_en,answer_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,source_entity,translation_status,editorial_status
wikidata_0011,Wikidata SPARQL,CC0,Geography,What is the capital city of Germany?,Berlin,Berlin,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q183,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0012,Wikidata SPARQL,CC0,Geography,What is the capital city of Monaco?,Monaco,Monaco,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q235,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0013,Wikidata SPARQL,CC0,Geography,What is the capital city of Greenland?,Nuuk,Nuuk,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q223,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0014,Wikidata SPARQL,CC0,Geography,What is the capital city of Andorra?,Andorra la Vella,Andorra la Vella,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q228,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0015,Wikidata SPARQL,CC0,Geography,What is the capital city of Kiribati?,South Tarawa,South Tarawa,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q710,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0016,Wikidata SPARQL,CC0,Geography,What is the capital city of Sweden?,Stockholm,Stockholm,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q34,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0017,Wikidata SPARQL,CC0,Geography,What is the capital city of India?,New Delhi,New Delhi,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q668,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0018,Wikidata SPARQL,CC0,Geography,What is the capital city of Iceland?,Reykjavík,Reykjavík,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q189,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0019,Wikidata SPARQL,CC0,Geography,What is the capital city of Netherlands?,Amsterdam,Amsterdam,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q55,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0020,Wikidata SPARQL,CC0,Geography,What is the capital city of Timor-Leste?,Dili,Dili,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q574,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0021,Wikidata SPARQL,CC0,Geography,What is the capital city of Moldova?,Chișinău,Chișinău,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q217,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0022,Wikidata SPARQL,CC0,Geography,What is the capital city of Georgia?,Tbilisi,Tbilisi,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q230,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0023,Wikidata SPARQL,CC0,Geography,What is the capital city of Japan?,Tokyo,Tokyo,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q17,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0024,Wikidata SPARQL,CC0,Geography,What is the capital city of Lithuania?,Vilnius,Vilnius,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q37,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0025,Wikidata SPARQL,CC0,Geography,What is the capital city of Ethiopia?,Addis Ababa,Addis Ababa,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q115,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0026,Wikidata SPARQL,CC0,Geography,What is the capital city of New Zealand?,Wellington,Wellington,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q664,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0027,Wikidata SPARQL,CC0,Geography,What is the capital city of Singapore?,Singapore,Singapore,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q334,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0028,Wikidata SPARQL,CC0,Geography,What is the capital city of Cuba?,Havana,Havana,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q241,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0029,Wikidata SPARQL,CC0,Geography,What is the capital city of Mexico?,Mexico City,Mexico City,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q96,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0030,Wikidata SPARQL,CC0,Geography,What is the capital city of Serbia?,Belgrade,Belgrade,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q403,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0031,Wikidata SPARQL,CC0,Geography,What is the capital city of Marshall Islands?,Majuro,Majuro,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q709,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0032,Wikidata SPARQL,CC0,Geography,What is the capital city of United States?,"Washington, D.C.","Washington, D.C.",Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q30,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0033,Wikidata SPARQL,CC0,Geography,What is the capital city of Finland?,Helsinki,Helsinki,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q33,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0034,Wikidata SPARQL,CC0,Geography,What is the capital city of Uzbekistan?,Tashkent,Tashkent,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q265,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0035,Wikidata SPARQL,CC0,Geography,What is the capital city of Bahrain?,Manama,Manama,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q398,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0036,Wikidata SPARQL,CC0,Geography,What is the capital city of Venezuela?,Caracas,Caracas,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q717,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0037,Wikidata SPARQL,CC0,Geography,What is the capital city of Estonia?,Tallinn,Tallinn,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q191,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0038,Wikidata SPARQL,CC0,Geography,What is the capital city of Austria?,Vienna,Vienna,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q40,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0039,Wikidata SPARQL,CC0,Geography,What is the capital city of Poland?,Warsaw,Warsaw,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q36,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0040,Wikidata SPARQL,CC0,Geography,What is the capital city of Denmark?,Copenhagen,Copenhagen,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q35,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0041,Wikidata SPARQL,CC0,Geography,What is the capital city of Ireland?,Dublin,Dublin,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q27,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0042,Wikidata SPARQL,CC0,Geography,What is the capital city of Russia?,Moscow,Moscow,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q159,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0043,Wikidata SPARQL,CC0,Geography,What is the capital city of Ghana?,Accra,Accra,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q117,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0044,Wikidata SPARQL,CC0,Geography,What is the capital city of Turkey?,Ankara,Ankara,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q43,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0045,Wikidata SPARQL,CC0,Geography,What is the capital city of Czech Republic?,Prague,Prague,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q213,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0046,Wikidata SPARQL,CC0,Geography,What is the capital city of Brazil?,Brasília,Brasília,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q155,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0047,Wikidata SPARQL,CC0,Geography,What is the capital city of Montenegro?,Podgorica,Podgorica,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q236,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0048,Wikidata SPARQL,CC0,Geography,What is the capital city of South Africa?,Pretoria,Pretoria,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q258,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0049,Wikidata SPARQL,CC0,Geography,What is the capital city of South Africa?,Cape Town,Cape Town,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q258,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0050,Wikidata SPARQL,CC0,Geography,What is the capital city of South Africa?,Bloemfontein,Bloemfontein,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q258,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0051,Wikidata SPARQL,CC0,Geography,What is the capital city of Belgium?,Brussels,Brussels,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q31,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0052,Wikidata SPARQL,CC0,Geography,What is the capital city of Portugal?,Lisbon,Lisbon,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q45,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0053,Wikidata SPARQL,CC0,Geography,What is the capital city of Norway?,Oslo,Oslo,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q20,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0054,Wikidata SPARQL,CC0,Geography,What is the capital city of Azerbaijan?,Baku,Baku,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q227,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0055,Wikidata SPARQL,CC0,Geography,What is the capital city of Switzerland?,Bern,Bern,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q39,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0056,Wikidata SPARQL,CC0,Geography,What is the capital city of Algeria?,Algiers,Algiers,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q262,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0057,Wikidata SPARQL,CC0,Geography,What is the capital city of North Korea?,Pyongyang,Pyongyang,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q423,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0058,Wikidata SPARQL,CC0,Geography,What is the capital city of Peru?,Lima,Lima,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q419,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0059,Wikidata SPARQL,CC0,Geography,What is the capital city of Guyana?,Georgetown,Georgetown,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q734,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0060,Wikidata SPARQL,CC0,Geography,What is the capital city of United Kingdom?,London,London,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q145,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0061,Wikidata SPARQL,CC0,Geography,What is the capital city of Chile?,Santiago,Santiago,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q298,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0062,Wikidata SPARQL,CC0,Geography,What is the capital city of Liechtenstein?,Vaduz,Vaduz,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q347,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0063,Wikidata SPARQL,CC0,Geography,What is the capital city of Federated States of Micronesia?,Palikir,Palikir,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q702,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0064,Wikidata SPARQL,CC0,Geography,What is the capital city of Fiji?,Suva,Suva,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q712,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0065,Wikidata SPARQL,CC0,Geography,What is the capital city of Papua New Guinea?,Port Moresby,Port Moresby,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q691,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0066,Wikidata SPARQL,CC0,Geography,What is the capital city of Samoa?,Apia,Apia,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q683,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0067,Wikidata SPARQL,CC0,Geography,What is the capital city of Tuvalu?,Funafuti,Funafuti,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q672,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0068,Wikidata SPARQL,CC0,Geography,What is the capital city of Tonga?,Nukuʻalofa,Nukuʻalofa,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q678,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0069,Wikidata SPARQL,CC0,Geography,What is the capital city of Solomon Islands?,Honiara,Honiara,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q685,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0070,Wikidata SPARQL,CC0,Geography,What is the capital city of Vanuatu?,Port Vila,Port Vila,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q686,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0071,Wikidata SPARQL,CC0,Geography,What is the capital city of Cambodia?,Phnom Penh,Phnom Penh,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q424,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0072,Wikidata SPARQL,CC0,Geography,What is the capital city of Nauru?,Yaren District,Yaren District,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q697,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0073,Wikidata SPARQL,CC0,Geography,What is the capital city of Cyprus?,Nicosia,Nicosia,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q229,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0074,Wikidata SPARQL,CC0,Geography,What is the capital city of Suriname?,Paramaribo,Paramaribo,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q730,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0075,Wikidata SPARQL,CC0,Geography,What is the capital city of Uruguay?,Montevideo,Montevideo,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q77,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0076,Wikidata SPARQL,CC0,Geography,What is the capital city of Slovenia?,Ljubljana,Ljubljana,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q215,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0077,Wikidata SPARQL,CC0,Geography,What is the capital city of Armenia?,Yerevan,Yerevan,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q399,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0078,Wikidata SPARQL,CC0,Geography,What is the capital city of People's Republic of China?,Beijing,Beijing,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q148,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0079,Wikidata SPARQL,CC0,Geography,What is the capital city of Bulgaria?,Sofia,Sofia,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q219,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0080,Wikidata SPARQL,CC0,Geography,What is the capital city of Palau?,Ngerulmud,Ngerulmud,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q695,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0081,Wikidata SPARQL,CC0,Geography,What is the capital city of Luxembourg?,Luxembourg,Luxembourg,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q32,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0082,Wikidata SPARQL,CC0,Geography,What is the capital city of Latvia?,Riga,Riga,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q211,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0083,Wikidata SPARQL,CC0,Geography,What is the capital city of Romania?,Bucharest,Bucharest,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q218,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0084,Wikidata SPARQL,CC0,Geography,What is the capital city of Indonesia?,Jakarta,Jakarta,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q252,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0085,Wikidata SPARQL,CC0,Geography,What is the capital city of Slovakia?,Bratislava,Bratislava,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q214,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0086,Wikidata SPARQL,CC0,Geography,What is the capital city of Chad?,N'Djamena,N'Djamena,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q657,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0087,Wikidata SPARQL,CC0,Geography,What is the capital city of Mongolia?,Ulaanbaatar,Ulaanbaatar,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q711,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0088,Wikidata SPARQL,CC0,Geography,What is the capital city of Albania?,Tirana,Tirana,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q222,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0089,Wikidata SPARQL,CC0,Geography,What is the capital city of Barbados?,Bridgetown,Bridgetown,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q244,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0090,Wikidata SPARQL,CC0,Geography,What is the capital city of Belize?,Belmopan,Belmopan,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q242,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0091,Wikidata SPARQL,CC0,Geography,What is the capital city of Greece?,Athens,Athens,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q41,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0092,Wikidata SPARQL,CC0,Geography,What is the capital city of Malta?,Valletta,Valletta,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q233,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0093,Wikidata SPARQL,CC0,Geography,What is the capital city of San Marino?,San Marino,San Marino,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q238,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0094,Wikidata SPARQL,CC0,Geography,What is the capital city of Vatican City?,Vatican City,Vatican City,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q237,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0095,Wikidata SPARQL,CC0,Geography,What is the capital city of Kenya?,Nairobi,Nairobi,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q114,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0096,Wikidata SPARQL,CC0,Geography,What is the capital city of North Macedonia?,Skopje,Skopje,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q221,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0097,Wikidata SPARQL,CC0,Geography,What is the capital city of Argentina?,Buenos Aires,Buenos Aires,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q414,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0098,Wikidata SPARQL,CC0,Geography,What is the capital city of France?,Paris,Paris,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q142,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0099,Wikidata SPARQL,CC0,Geography,What is the capital city of Italy?,Rome,Rome,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q38,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0100,Wikidata SPARQL,CC0,Geography,What is the capital city of Croatia?,Zagreb,Zagreb,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q224,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0101,Wikidata SPARQL,CC0,Geography,What is the capital city of Principality of Waldeck?,Bad Arolsen,Bad Arolsen,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q165763,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0102,Wikidata SPARQL,CC0,Geography,What is the capital city of Kashmir Sultanate?,Baramulla,Baramulla,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q123027565,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0103,Wikidata SPARQL,CC0,Geography,What is the capital city of Kashmir Sultanate?,Nowshera,Nowshera,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q123027565,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0104,Wikidata SPARQL,CC0,Geography,What is the capital city of Muscat and Oman?,Muscat,Muscat,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q157734,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0105,Wikidata SPARQL,CC0,Geography,What is the capital city of Kashmir Sultanate?,Sopore,Sopore,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q123027565,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0106,Wikidata SPARQL,CC0,Geography,What is the capital city of Sultanate of Muscat?,Muscat,Muscat,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q16881283,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0107,Wikidata SPARQL,CC0,Geography,What is the capital city of Pahlavi Iran?,Tehran,Tehran,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q107258515,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0108,Wikidata SPARQL,CC0,Geography,What is the capital city of Emirate of Al Qawasim?,Ras al-Khaimah,Ras al-Khaimah,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q131588685,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0109,Wikidata SPARQL,CC0,Geography,What is the capital city of Cook Islands?,Avarua,Avarua,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q26988,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0110,Wikidata SPARQL,CC0,Geography,What is the capital city of Somaliland?,Hargeisa,Hargeisa,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q34754,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0111,Wikidata SPARQL,CC0,Geography,What is the capital city of Kashmir Sultanate?,Nowhatta,Nowhatta,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q123027565,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0112,Wikidata SPARQL,CC0,Geography,What is the capital city of Emirate of Lengeh?,Bandar Lengeh,Bandar Lengeh,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q12191529,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0113,Wikidata SPARQL,CC0,Geography,What is the capital city of Aruba?,Oranjestad,Oranjestad,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q21203,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0114,Wikidata SPARQL,CC0,Geography,What is the capital city of Maragheh Khanate?,Maragheh,Maragheh,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q140030295,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0115,Wikidata SPARQL,CC0,Geography,What is the capital city of Colombia?,Bogotá,Bogotá,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q739,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0116,Wikidata SPARQL,CC0,Geography,What is the capital city of Curaçao?,Willemstad,Willemstad,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q25279,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
