id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
wikidata_translated_2_0011,Paradigma,ku-kmr,Hejmara atomî ya elementê tin çend e?,120,119,50,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê tin 50 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0240
wikidata_translated_2_0012,Paradigma,ku-kmr,Hejmara atomî ya elementê gallium çend e?,119,31,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê gallium 31 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0241
wikidata_translated_2_0013,Paradigma,ku-kmr,Hejmara atomî ya elementê argon çend e?,18,3,120,119,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê argon 18 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0242
wikidata_translated_2_0014,Paradigma,ku-kmr,Hejmara atomî ya elementê cerium çend e?,3,120,119,58,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê cerium 58 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0243
wikidata_translated_2_0015,Paradigma,ku-kmr,Hejmara atomî ya elementê indium çend e?,120,119,49,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê indium 49 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0244
wikidata_translated_2_0016,Paradigma,ku-kmr,Hejmara atomî ya elementê neodîmyum çend e?,119,60,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê neodîmyum 60 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0245
wikidata_translated_2_0017,Paradigma,ku-kmr,Hejmara atomî ya elementê plutonyum çend e?,94,3,120,119,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê plutonyum 94 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0246
wikidata_translated_2_0018,Paradigma,ku-kmr,Hejmara atomî ya elementê itriyum çend e?,3,120,119,39,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê itriyum 39 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0247
wikidata_translated_2_0019,Paradigma,ku-kmr,Hejmara atomî ya elementê xenon çend e?,120,119,54,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê xenon 54 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0248
wikidata_translated_2_0020,Paradigma,ku-kmr,Hejmara atomî ya elementê vanadyum çend e?,119,23,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê vanadyum 23 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0249
wikidata_translated_2_0021,Paradigma,ku-kmr,Hejmara atomî ya elementê mes çend e?,29,3,120,119,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê mes 29 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0250
wikidata_translated_2_0022,Paradigma,ku-kmr,Hejmara atomî ya elementê antîmon çend e?,3,120,119,51,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê antîmon 51 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0251
wikidata_translated_2_0023,Paradigma,ku-kmr,Hejmara atomî ya elementê protaktînyum çend e?,120,119,91,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê protaktînyum 91 e.",3,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0252
wikidata_translated_2_0024,Paradigma,ku-kmr,Hejmara atomî ya elementê manganez çend e?,119,25,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê manganez 25 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0253
