id,category,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,is_approved,question_type,image_url,source_url
offline_0011,Ziman,ku-kmr,"Di Kurmancî de peyva ""mal"" bi Tirkî çi ye?",ev,Sen,su,İş,A,"""mal"" kelimesi ""ev"" anlamına gelir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0012,Ziman,ku-kmr,"""ev"" anlamına gelen Kurmancî kelime hangisidir?",çok,mal,min,Köy,B,"""ev"" için doğru karşılık ""mal""tir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0013,Ziman,ku-kmr,"Peyva ""mal"" ""ev"" anlamına gelir.",Rast,Şaş,-,-,A,"""mal"" için doğru anlam ""ev""tir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0014,Ziman,ku-kmr,"Peyva ""mal"" ""okul"" anlamına gelir.",Rast,Şaş,-,-,B,"""mal"" ""ev"" demektir; ""dibistan"" ise ""okul"" anlamına gelir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0015,Ziman,ku-kmr,"Görsel etiketi ""mal"" kavramını gösteriyor. Doğru anlam hangisidir?",ev,Sen,su,İş,A,"Görsel soru ""mal"" kelimesini pekiştirir.",3,true,visual,asset://assets/question_images/mal.webp,zankurd_seed_rich_v2
offline_0016,Ziman,ku-kmr,"Di Kurmancî de peyva ""pirtûk"" bi Tirkî çi ye?",zarok,Siyah,Çocuk,kitap,D,"""pirtûk"" kelimesi ""kitap"" anlamına gelir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0017,Ziman,ku-kmr,"""kitap"" anlamına gelen Kurmancî kelime hangisidir?",Gelmek,gelmek,pirtûk,kitap,C,"""kitap"" için doğru karşılık ""pirtûk""tir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0018,Ziman,ku-kmr,"Peyva ""pirtûk"" ""kitap"" anlamına gelir.",Rast,Şaş,-,-,A,"""pirtûk"" için doğru anlam ""kitap""tir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0019,Ziman,ku-kmr,"Peyva ""pirtûk"" ""yazı"" anlamına gelir.",Rast,Şaş,-,-,B,"""pirtûk"" ""kitap"" demektir; ""nivîs"" ise ""yazı"" anlamına gelir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0020,Ziman,ku-kmr,"Görsel etiketi ""pirtûk"" kavramını gösteriyor. Doğru anlam hangisidir?",Beyaz,zanîn,kitap,soğuk,C,"Görsel soru ""pirtûk"" kelimesini pekiştirir.",4,true,visual,asset://assets/question_images/pirtuk.webp,zankurd_seed_rich_v2
offline_0021,Ziman,ku-kmr,"Di Kurmancî de peyva ""zanîn"" bi Tirkî çi ye?",pirtûk,bilmek,Okumak,Görmek,B,"""zanîn"" kelimesi ""bilmek"" anlamına gelir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0022,Ziman,ku-kmr,"""bilmek"" anlamına gelen Kurmancî kelime hangisidir?",Beyaz,were!,zanîn,zarok,C,"""bilmek"" için doğru karşılık ""zanîn""tir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0023,Ziman,ku-kmr,"Peyva ""zanîn"" ""bilmek"" anlamına gelir.",Rast,Şaş,-,-,A,"""zanîn"" için doğru anlam ""bilmek""tir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0024,Ziman,ku-kmr,"Peyva ""zanîn"" ""gitmek"" anlamına gelir.",Rast,Şaş,-,-,B,"""zanîn"" ""bilmek"" demektir; ""çûn"" ise ""gitmek"" anlamına gelir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0025,Ziman,ku-kmr,"Görsel etiketi ""zanîn"" kavramını gösteriyor. Doğru anlam hangisidir?",bilmek,Okumak,Gelmek,Yazmak,A,"Görsel soru ""zanîn"" kelimesini pekiştirir.",5,true,visual,asset://assets/question_images/zanin.webp,zankurd_seed_rich_v2
offline_0026,Ziman,ku-kmr,"Di Kurmancî de peyva ""hatin"" bi Tirkî çi ye?",biçûk,kitap,were!,gelmek,D,"""hatin"" kelimesi ""gelmek"" anlamına gelir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0027,Ziman,ku-kmr,"""gelmek"" anlamına gelen Kurmancî kelime hangisidir?",Çocuk,Kitap,hatin,zanîn,C,"""gelmek"" için doğru karşılık ""hatin""tir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0028,Ziman,ku-kmr,"Peyva ""hatin"" ""gelmek"" anlamına gelir.",Rast,Şaş,-,-,A,"""hatin"" için doğru anlam ""gelmek""tir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0029,Ziman,ku-kmr,"Peyva ""hatin"" ""okumak"" anlamına gelir.",Rast,Şaş,-,-,B,"""hatin"" ""gelmek"" demektir; ""xwendin"" ise ""okumak"" anlamına gelir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0030,Ziman,ku-kmr,"Görsel etiketi ""hatin"" kavramını gösteriyor. Doğru anlam hangisidir?",Yoğurt,were!,gelmek,Yukarı,C,"Görsel soru ""hatin"" kelimesini pekiştirir.",1,true,visual,asset://assets/question_images/hatin.webp,zankurd_seed_rich_v2
offline_0031,Ziman,ku-kmr,"Di Kurmancî de peyva ""çiya"" bi Tirkî çi ye?",pir,dağ,Ben,Kar,B,"""çiya"" kelimesi ""dağ"" anlamına gelir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0032,Ziman,ku-kmr,"""dağ"" anlamına gelen Kurmancî kelime hangisidir?",çiya,Ateş,spas,Elma,A,"""dağ"" için doğru karşılık ""çiya""tir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0033,Ziman,ku-kmr,"Peyva ""çiya"" ""dağ"" anlamına gelir.",Rast,Şaş,-,-,A,"""çiya"" için doğru anlam ""dağ""tir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0034,Ziman,ku-kmr,"Peyva ""çiya"" ""ova"" anlamına gelir.",Rast,Şaş,-,-,B,"""çiya"" ""dağ"" demektir; ""deşt"" ise ""ova"" anlamına gelir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0035,Ziman,ku-kmr,"Görsel etiketi ""çiya"" kavramını gösteriyor. Doğru anlam hangisidir?",İyi,Kar,dağ,yol,C,"Görsel soru ""çiya"" kelimesini pekiştirir.",2,true,visual,asset://assets/question_images/ciya.webp,zankurd_seed_rich_v2
offline_0036,Ziman,ku-kmr,"Di Kurmancî de peyva ""dil"" bi Tirkî çi ye?",Altı (6),Öğretmen,öğrenmek,kalp/dil,D,"""dil"" kelimesi ""kalp/dil"" anlamına gelir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0037,Ziman,ku-kmr,"""kalp/dil"" anlamına gelen Kurmancî kelime hangisidir?",yol,dil,Göl,Köy,B,"""kalp/dil"" için doğru karşılık ""dil""tir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0038,Ziman,ku-kmr,"Peyva ""dil"" ""kalp/dil"" anlamına gelir.",Rast,Şaş,-,-,A,"""dil"" için doğru anlam ""kalp/dil""tir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0039,Ziman,ku-kmr,"Peyva ""dil"" ""el"" anlamına gelir.",Rast,Şaş,-,-,B,"""dil"" ""kalp/dil"" demektir; ""dest"" ise ""el"" anlamına gelir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0040,Ziman,ku-kmr,"Görsel etiketi ""dil"" kavramını gösteriyor. Doğru anlam hangisidir?",kalp/dil,Teşekkür,Nasılsın?,su içmek,A,"Görsel soru ""dil"" kelimesini pekiştirir.",3,true,visual,asset://assets/question_images/dil.webp,zankurd_seed_rich_v2
offline_0041,Ziman,ku-kmr,"Di Kurmancî de peyva ""heval"" bi Tirkî çi ye?",Yumurta,öğrenci,Üç (3),arkadaş,D,"""heval"" kelimesi ""arkadaş"" anlamına gelir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0042,Ziman,ku-kmr,"""arkadaş"" anlamına gelen Kurmancî kelime hangisidir?",zanîn,Beyaz,Büyük,heval,D,"""arkadaş"" için doğru karşılık ""heval""tir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0043,Ziman,ku-kmr,"Peyva ""heval"" ""arkadaş"" anlamına gelir.",Rast,Şaş,-,-,A,"""heval"" için doğru anlam ""arkadaş""tir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0044,Ziman,ku-kmr,"Peyva ""heval"" ""aile"" anlamına gelir.",Rast,Şaş,-,-,B,"""heval"" ""arkadaş"" demektir; ""malbat"" ise ""aile"" anlamına gelir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0045,Ziman,ku-kmr,"Görsel etiketi ""heval"" kavramını gösteriyor. Doğru anlam hangisidir?",sayılar,arkadaş,Yumurta,Kırmızı,B,"Görsel soru ""heval"" kelimesini pekiştirir.",4,true,visual,asset://assets/question_images/heval.webp,zankurd_seed_rich_v2
offline_0046,Ziman,ku-kmr,"Di Kurmancî de peyva ""bajar"" bi Tirkî çi ye?",soğuk,şehir,zarok,biçûk,B,"""bajar"" kelimesi ""şehir"" anlamına gelir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0047,Ziman,ku-kmr,"""şehir"" anlamına gelen Kurmancî kelime hangisidir?",Çocuk,bajar,zanîn,were!,B,"""şehir"" için doğru karşılık ""bajar""tir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0048,Ziman,ku-kmr,"Peyva ""bajar"" ""şehir"" anlamına gelir.",Rast,Şaş,-,-,A,"""bajar"" için doğru anlam ""şehir""tir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0049,Ziman,ku-kmr,"Peyva ""bajar"" ""köy"" anlamına gelir.",Rast,Şaş,-,-,B,"""bajar"" ""şehir"" demektir; ""gund"" ise ""köy"" anlamına gelir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0050,Ziman,ku-kmr,"Görsel etiketi ""bajar"" kavramını gösteriyor. Doğru anlam hangisidir?",zanîn,Küçük,heval,şehir,D,"Görsel soru ""bajar"" kelimesini pekiştirir.",5,true,visual,asset://assets/question_images/bajar.webp,zankurd_seed_rich_v2
offline_0051,Ziman,ku-kmr,"Di Kurmancî de peyva ""nan"" bi Tirkî çi ye?",here!,Çocuk,ekmek,Büyük,C,"""nan"" kelimesi ""ekmek"" anlamına gelir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0052,Ziman,ku-kmr,"""ekmek"" anlamına gelen Kurmancî kelime hangisidir?",Sen,dağ,mal,nan,D,"""ekmek"" için doğru karşılık ""nan""tir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0053,Ziman,ku-kmr,"Peyva ""nan"" ""ekmek"" anlamına gelir.",Rast,Şaş,-,-,A,"""nan"" için doğru anlam ""ekmek""tir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0054,Ziman,ku-kmr,"Peyva ""nan"" ""süt"" anlamına gelir.",Rast,Şaş,-,-,B,"""nan"" ""ekmek"" demektir; ""şîr"" ise ""süt"" anlamına gelir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0055,Ziman,ku-kmr,"Görsel etiketi ""nan"" kavramını gösteriyor. Doğru anlam hangisidir?",biçûk,Çocuk,ekmek,Büyük,C,"Görsel soru ""nan"" kelimesini pekiştirir.",1,true,visual,asset://assets/question_images/nan.webp,zankurd_seed_rich_v2
offline_0056,Ziman,ku-kmr,"Di Kurmancî de peyva ""rê"" bi Tirkî çi ye?",Ben,Göl,yol,duh,C,"""rê"" kelimesi ""yol"" anlamına gelir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0057,Ziman,ku-kmr,"""yol"" anlamına gelen Kurmancî kelime hangisidir?",rê,İş,El,21,A,"""yol"" için doğru karşılık ""rê""tir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0058,Ziman,ku-kmr,"Peyva ""rê"" ""yol"" anlamına gelir.",Rast,Şaş,-,-,A,"""rê"" için doğru anlam ""yol""tir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0059,Ziman,ku-kmr,"Peyva ""rê"" ""kapı"" anlamına gelir.",Rast,Şaş,-,-,B,"""rê"" ""yol"" demektir; ""derî"" ise ""kapı"" anlamına gelir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0060,Ziman,ku-kmr,"Görsel etiketi ""rê"" kavramını gösteriyor. Doğru anlam hangisidir?",dağ,nan,Sen,yol,D,"Görsel soru ""rê"" kelimesini pekiştirir.",2,true,visual,asset://assets/question_images/re.webp,zankurd_seed_rich_v2
offline_0061,Ziman,ku-kmr,"Di Kurmancî de peyva ""spas"" bi Tirkî çi ye?",kalp/dil,Altı (6),teşekkür,su içmek,C,"""spas"" kelimesi ""teşekkür"" anlamına gelir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0062,Ziman,ku-kmr,"""teşekkür"" anlamına gelen Kurmancî kelime hangisidir?",Soru,Renk,spas,Elma,C,"""teşekkür"" için doğru karşılık ""spas""tir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0063,Ziman,ku-kmr,"Peyva ""spas"" ""teşekkür"" anlamına gelir.",Rast,Şaş,-,-,A,"""spas"" için doğru anlam ""teşekkür""tir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0064,Ziman,ku-kmr,"Peyva ""spas"" ""selam"" anlamına gelir.",Rast,Şaş,-,-,B,"""spas"" ""teşekkür"" demektir; ""silav"" ise ""selam"" anlamına gelir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0065,Ziman,ku-kmr,"Görsel etiketi ""spas"" kavramını gösteriyor. Doğru anlam hangisidir?",teşekkür,Dört (4),öğrenmek,Yumurta,A,"Görsel soru ""spas"" kelimesini pekiştirir.",3,true,visual,asset://assets/question_images/spas.webp,zankurd_seed_rich_v2
offline_0066,Ziman,ku-kmr,"Di Kurmancî de peyva ""xweş"" bi Tirkî çi ye?",Pazartesi,gün/güneş,güzel/iyi,Nasılsın?,C,"""xweş"" kelimesi ""güzel/iyi"" anlamına gelir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0067,Ziman,ku-kmr,"""güzel/iyi"" anlamına gelen Kurmancî kelime hangisidir?",eski,Elma,Gece,xweş,D,"""güzel/iyi"" için doğru karşılık ""xweş""tir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0068,Ziman,ku-kmr,"Peyva ""xweş"" ""güzel/iyi"" anlamına gelir.",Rast,Şaş,-,-,A,"""xweş"" için doğru anlam ""güzel/iyi""tir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0069,Ziman,ku-kmr,"Peyva ""xweş"" ""sıcak"" anlamına gelir.",Rast,Şaş,-,-,B,"""xweş"" ""güzel/iyi"" demektir; ""germ"" ise ""sıcak"" anlamına gelir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0070,Ziman,ku-kmr,"Görsel etiketi ""xweş"" kavramını gösteriyor. Doğru anlam hangisidir?",Duygu/his,güzel/iyi,başlangıç,Yedi (7),B,"Görsel soru ""xweş"" kelimesini pekiştirir.",4,true,visual,asset://assets/question_images/xwes.webp,zankurd_seed_rich_v2
offline_0071,Ziman,ku-kmr,"Di Kurmancî de peyva ""sar"" bi Tirkî çi ye?",Akşam,Beyaz,here!,soğuk,D,"""sar"" kelimesi ""soğuk"" anlamına gelir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0072,Ziman,ku-kmr,"""soğuk"" anlamına gelen Kurmancî kelime hangisidir?",pir,dün,Köy,sar,D,"""soğuk"" için doğru karşılık ""sar""tir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0073,Ziman,ku-kmr,"Peyva ""sar"" ""soğuk"" anlamına gelir.",Rast,Şaş,-,-,A,"""sar"" için doğru anlam ""soğuk""tir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0074,Ziman,ku-kmr,"Peyva ""sar"" ""büyük"" anlamına gelir.",Rast,Şaş,-,-,B,"""sar"" ""soğuk"" demektir; ""mezin"" ise ""büyük"" anlamına gelir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0075,Ziman,ku-kmr,"Görsel etiketi ""sar"" kavramını gösteriyor. Doğru anlam hangisidir?",Küçük,soğuk,heval,Aşağı,B,"Görsel soru ""sar"" kelimesini pekiştirir.",5,true,visual,asset://assets/question_images/sar.webp,zankurd_seed_rich_v2
offline_0076,Ziman,ku-kmr,"Di Kurmancî de peyva ""biçûk"" bi Tirkî çi ye?",heval,Aşağı,Siyah,küçük,D,"""biçûk"" kelimesi ""küçük"" anlamına gelir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0077,Ziman,ku-kmr,"""küçük"" anlamına gelen Kurmancî kelime hangisidir?",kitap,Beyaz,Küçük,biçûk,D,"""küçük"" için doğru karşılık ""biçûk""tir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0078,Ziman,ku-kmr,"Peyva ""biçûk"" ""küçük"" anlamına gelir.",Rast,Şaş,-,-,A,"""biçûk"" için doğru anlam ""küçük""tir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0079,Ziman,ku-kmr,"Peyva ""biçûk"" ""yeni"" anlamına gelir.",Rast,Şaş,-,-,B,"""biçûk"" ""küçük"" demektir; ""nû"" ise ""yeni"" anlamına gelir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0080,Ziman,ku-kmr,"Görsel etiketi ""biçûk"" kavramını gösteriyor. Doğru anlam hangisidir?",Kitap,were!,küçük,heval,C,"Görsel soru ""biçûk"" kelimesini pekiştirir.",1,true,visual,asset://assets/question_images/bicuk.webp,zankurd_seed_rich_v2
offline_0081,Ziman,ku-kmr,"Di Kurmancî de peyva ""kevin"" bi Tirkî çi ye?",Soru,rast,eski,çiya,C,"""kevin"" kelimesi ""eski"" anlamına gelir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0082,Ziman,ku-kmr,"""eski"" anlamına gelen Kurmancî kelime hangisidir?",kevin,Çocuk,Siyah,Büyük,A,"""eski"" için doğru karşılık ""kevin""tir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0083,Ziman,ku-kmr,"Peyva ""kevin"" ""eski"" anlamına gelir.",Rast,Şaş,-,-,A,"""kevin"" için doğru anlam ""eski""tir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0084,Ziman,ku-kmr,"Peyva ""kevin"" ""erken"" anlamına gelir.",Rast,Şaş,-,-,B,"""kevin"" ""eski"" demektir; ""zû"" ise ""erken"" anlamına gelir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0085,Ziman,ku-kmr,"Görsel etiketi ""kevin"" kavramını gösteriyor. Doğru anlam hangisidir?",Elma,rast,eski,xweş,C,"Görsel soru ""kevin"" kelimesini pekiştirir.",2,true,visual,asset://assets/question_images/kevin.webp,zankurd_seed_rich_v2
offline_0086,Ziman,ku-kmr,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",kitap,Siyah,Aşağı,bugün,D,"""îro"" kelimesi ""bugün"" anlamına gelir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0087,Ziman,ku-kmr,"""bugün"" anlamına gelen Kurmancî kelime hangisidir?",min,îro,nan,mal,B,"""bugün"" için doğru karşılık ""îro""tir.",3,true,multiple_choice,,zankurd_seed_rich_v2
offline_0088,Ziman,ku-kmr,"Peyva ""îro"" ""bugün"" anlamına gelir.",Rast,Şaş,-,-,A,"""îro"" için doğru anlam ""bugün""tir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0089,Ziman,ku-kmr,"Peyva ""îro"" ""yarın"" anlamına gelir.",Rast,Şaş,-,-,B,"""îro"" ""bugün"" demektir; ""sibê"" ise ""yarın"" anlamına gelir.",3,true,true_false,,zankurd_seed_rich_v2
offline_0090,Ziman,ku-kmr,"Görsel etiketi ""îro"" kavramını gösteriyor. Doğru anlam hangisidir?",biçûk,soğuk,bugün,kitap,C,"Görsel soru ""îro"" kelimesini pekiştirir.",3,true,visual,asset://assets/question_images/iro.webp,zankurd_seed_rich_v2
offline_0091,Ziman,ku-kmr,"Di Kurmancî de peyva ""duh"" bi Tirkî çi ye?",pir,nan,dün,dağ,C,"""duh"" kelimesi ""dün"" anlamına gelir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0092,Ziman,ku-kmr,"""dün"" anlamına gelen Kurmancî kelime hangisidir?",min,İyi,yol,duh,D,"""dün"" için doğru karşılık ""duh""tir.",4,true,multiple_choice,,zankurd_seed_rich_v2
offline_0093,Ziman,ku-kmr,"Peyva ""duh"" ""dün"" anlamına gelir.",Rast,Şaş,-,-,A,"""duh"" için doğru anlam ""dün""tir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0094,Ziman,ku-kmr,"Peyva ""duh"" ""zaman"" anlamına gelir.",Rast,Şaş,-,-,B,"""duh"" ""dün"" demektir; ""dem"" ise ""zaman"" anlamına gelir.",4,true,true_false,,zankurd_seed_rich_v2
offline_0095,Ziman,ku-kmr,"Görsel etiketi ""duh"" kavramını gösteriyor. Doğru anlam hangisidir?",dağ,İyi,dün,duh,C,"Görsel soru ""duh"" kelimesini pekiştirir.",4,true,visual,asset://assets/question_images/duh.webp,zankurd_seed_rich_v2
offline_0096,Ziman,ku-kmr,"Di Kurmancî de peyva ""nav"" bi Tirkî çi ye?",ad/isim,Beş (5),Gökyüzü,sayılar,A,"""nav"" kelimesi ""ad/isim"" anlamına gelir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0097,Ziman,ku-kmr,"""ad/isim"" anlamına gelen Kurmancî kelime hangisidir?",Köy,Sen,nan,nav,D,"""ad/isim"" için doğru karşılık ""nav""tir.",5,true,multiple_choice,,zankurd_seed_rich_v2
offline_0098,Ziman,ku-kmr,"Peyva ""nav"" ""ad/isim"" anlamına gelir.",Rast,Şaş,-,-,A,"""nav"" için doğru anlam ""ad/isim""tir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0099,Ziman,ku-kmr,"Peyva ""nav"" ""söz"" anlamına gelir.",Rast,Şaş,-,-,B,"""nav"" ""ad/isim"" demektir; ""peyiv"" ise ""söz"" anlamına gelir.",5,true,true_false,,zankurd_seed_rich_v2
offline_0100,Ziman,ku-kmr,"Görsel etiketi ""nav"" kavramını gösteriyor. Doğru anlam hangisidir?",ergatîf,renkler,ad/isim,Kırmızı,C,"Görsel soru ""nav"" kelimesini pekiştirir.",5,true,visual,asset://assets/question_images/nav.webp,zankurd_seed_rich_v2
offline_0101,Ziman,ku-kmr,"Di Kurmancî de peyva ""zarok"" bi Tirkî çi ye?",Aşağı,çocuk,here!,biçûk,B,"""zarok"" kelimesi ""çocuk"" anlamına gelir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0102,Ziman,ku-kmr,"""çocuk"" anlamına gelen Kurmancî kelime hangisidir?",heval,zarok,soğuk,here!,B,"""çocuk"" için doğru karşılık ""zarok""tir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0103,Ziman,ku-kmr,"Peyva ""zarok"" ""çocuk"" anlamına gelir.",Rast,Şaş,-,-,A,"""zarok"" için doğru anlam ""çocuk""tir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0104,Ziman,ku-kmr,"Peyva ""zarok"" ""öğretmen"" anlamına gelir.",Rast,Şaş,-,-,B,"""zarok"" ""çocuk"" demektir; ""mamoste"" ise ""öğretmen"" anlamına gelir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0105,Ziman,ku-kmr,"Görsel etiketi ""zarok"" kavramını gösteriyor. Doğru anlam hangisidir?",zarok,çocuk,soğuk,Büyük,B,"Görsel soru ""zarok"" kelimesini pekiştirir.",1,true,visual,asset://assets/question_images/zarok.webp,zankurd_seed_rich_v2
offline_0106,Ziman,ku-kmr,"Di Kurmancî de peyva ""xwendekar"" bi Tirkî çi ye?",gelmek,sayılar,arkadaş,öğrenci,D,"""xwendekar"" kelimesi ""öğrenci"" anlamına gelir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0107,Ziman,ku-kmr,"""öğrenci"" anlamına gelen Kurmancî kelime hangisidir?",xwendekar,Güneş/gün,Ben iyiyim,Yüz (100),A,"""öğrenci"" için doğru karşılık ""xwendekar""tir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0108,Ziman,ku-kmr,"Peyva ""xwendekar"" ""öğrenci"" anlamına gelir.",Rast,Şaş,-,-,A,"""xwendekar"" için doğru anlam ""öğrenci""tir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0109,Ziman,ku-kmr,"Peyva ""xwendekar"" ""grup"" anlamına gelir.",Rast,Şaş,-,-,B,"""xwendekar"" ""öğrenci"" demektir; ""kom"" ise ""grup"" anlamına gelir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0110,Ziman,ku-kmr,"Görsel etiketi ""xwendekar"" kavramını gösteriyor. Doğru anlam hangisidir?",öğrenci,ergatîf,Üç (3),Bir (1),A,"Görsel soru ""xwendekar"" kelimesini pekiştirir.",2,true,visual,asset://assets/question_images/xwendekar.webp,zankurd_seed_rich_v2
offline_0111,Ziman,ku-kmr,"Di Kurmancî de peyva ""rast"" bi Tirkî çi ye?",kitap,Siyah,Büyük,doğru,D,"""rast"" kelimesi ""doğru"" anlamına gelir.",3,true,multiple_choice,,zankurd_seed_rich_v2
