candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_remaining_0011,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"""Green Eggs And Ham"" is a book by which author?",Dr. Seuss,Beatrix Potter,Roald Dahl,A.A. Milne,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0012,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,What is Hermione Granger's middle name?,Jean,Jane,Emma,Jo,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0013,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,Which famous book is sub-titled 'The Modern Prometheus'?,Frankenstein,Dracula,The Strange Case of Dr. Jekyll and Mr. Hyde ,The Legend of Sleepy Hollow,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0014,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"In Margaret Atwood's ""The Handmaid's Tale"", what is Offred's real name is implied to be?",June,August,April,May,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0015,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"By what nickname is Jack Dawkins known in the Charles Dickens novel, 'Oliver Twist'?",The Artful Dodger,Fagin,Bull’s-eye,Mr. Fang,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0016,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"In which classic novel by Mark Twain did a beggar and Prince of Wales switch clothes, and learn about social class inequality?",The Prince and the Pauper,Hamlet,Wealthy Boy and the Schmuck,A Modern Twain Story,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0017,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"In the book series ""Odd Thomas"", Danny Jessup has what genetic disease? ", Osteogenesis Imperfecta,Spinocerebellar ataxia,Adrenoleukodystrophy,Cystic Fibrosis,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0018,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,What is the fourth book of the Old Testament?,Numbers,Genesis,Exodus,Leviticus,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0019,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"What was the pen name of novelist, Mary Ann Evans?",George Eliot,George Orwell,George Bernard Shaw,George Saunders,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0020,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"Who wrote the 1967 horror novel ""Rosemary's Baby""?",Ira Levin,Stephen King,Robert Bloch,Mary Shelley,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0021,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"What was the last message of the Dolphins in ""The Hitchhiker's Guide to the Galaxy""?","""So long, and thanks for all the fish.""","""The answer is 42.""","""Land of the brave.""","""Goodbye cruel world!""",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0022,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,Which of the following is NOT a work done by Shakespeare?,Trial of Temperance,Measure For Measure,Titus Andronicus,Cymbeline,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0023,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In Terry Pratchett's Discworld novel 'Wyrd Sisters', which of these are not one of the three main witches?",Winny Hathersham,Granny Weatherwax,Nanny Ogg,Magrat Garlick,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0024,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"What was Sir Handel's original name in ""The Railway Series"" and it's animated counterpart ""Thomas and Friends?""",Falcon,Eagle,Kyte,Swallow,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0025,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In ""The Lord of the Rings,"" who is the owner of Asfaloth, the horse which brings Frodo to Rivendell?",Glorfindel,Arwen,Aragorn,Haldir,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0026,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"The novel ""Of Mice And Men"" was written by what author? ",John Steinbeck ,George Orwell,Mark Twain ,Harper Lee,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0027,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In the children's book series, where is Paddington Bear originally from?",Peru,India,Iceland,Canada,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0028,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,Which of these books was NOT written by the Czech author Karel Čapek?,Journey to the Center of the Earth,The War with the Newts,R.U.R. (Rossum's Universal Robots),"Dashenka, or the Life of a Puppy",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0029,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"George Orwell's novel ""Animal Farm"" was inspired by which historical event?",The rise of communism and Stalin's policies.,The rise of Imperial Japan and Pacific control.,The rise of fascism and Hitler's influences.,Franklin D. Roosevelt's New Deal and its effects on The Great Depression.,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0030,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,Which of these book series is by James Patterson?,Maximum Ride,Harry Potter,The Legend of Xanth,The Bartemaeus Trilogy,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0031,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In the ""Harry Potter"" novels, what must a Hogwarts student do to enter the Ravenclaw Common Room?",Answer a riddle,Rhythmically tap barrels with a wand,Speak a password,Knock in sequence,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0032,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"In the book ""The Martian"", how long was Mark Watney trapped on Mars (in Sols)?",549 Days,765 Days,401 Days,324 Days,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0033,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,What is Ron Weasley's middle name?,Bilius,Arthur,John,Dominic,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0034,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"Who was the author of the 1954 novel, ""Lord of the Flies""?",William Golding,Stephen King,F. Scott Fitzgerald,Hunter Fox,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0035,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,In what Harry Potter book was a Horcrux first encountered?,The Chamber of Secrets,The Half-Blood Prince,The Goblet of Fire,The Deathly Hallows,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0036,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,Which of the following authors was not born in England? ,Arthur Conan Doyle,Graham Greene,H G Wells,Arthur C Clarke,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0037,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,How many Harry Potter books are there?,7,8,5,6,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0038,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,In which classic novel is there a character named Homer Simpson?,The Day of the Locust,Catch-22,Of Mice and Men,A Separate Peace,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0039,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,What was the first ever entry written for the SCP Foundation collaborative writing project?,SCP-173,SCP-001,SCP-999,SCP-1459,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0040,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?",Sarpadia,Otaria,Terisiare,Shiv,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0041,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,Which Russian author wrote the epic novel War and Peace?,Leo Tolstoy,Fyodor Dostoyevsky,Alexander Pushkin,Vladimir Nabokov,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0042,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"Which famous spy novelist wrote the childrens' story ""Chitty-Chitty-Bang-Bang""?",Ian Fleming,Joseph Conrad,John Buchan,Graham Greene,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0043,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,What is the name of the fourth book in Stephen King's The Dark Tower series?,Wizard and Glass,Wolves of the Calla,Hearts in Atlantis,The Dark Half,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0044,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,Who wrote the novel 'Fear And Loathing In Las Vegas'?,Hunter S. Thompson,F. Scott Fitzgerald,Henry Miller,William S. Burroughs,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0045,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,What book series published by Jim Butcher follows a wizard in modern day Chicago?,The Dresden Files,A Hat in Time,The Cinder Spires,My Life as a Teenage Wizard,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0046,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"What was the name of Captain Nemo's submarine in ""20,000 Leagues Under the Sea""?",The Nautilus,The Neptune,The Poseidon  ,The Atlantis,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0047,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In Romance of the Three Kingdoms, who was not a member of the Peach Garden Oath?",Zhao Yun,Liu Bei,Guan Yu,Zhang Fei,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0048,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,What position does Harry Potter play in Quidditch?,Seeker,Beater,Chaser,Keeper,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0049,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,What is the title of the first Sherlock Holmes book by Arthur Conan Doyle?,A Study in Scarlet,The Sign of the Four,A Case of Identity,The Doings of Raffles Haw,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0050,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In the novel ""Lord of the Rings"", how many rings of power were given to the race of man?",9,5,11,13,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0051,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Velma Kelly and Roxie Hart are the protagonists of which Oscar winning movie?,Chicago,Dreamgirls,Cabaret,All That Jazz,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0052,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,Which actress danced the twist with John Travolta in 'Pulp Fiction'?,Uma Thurman,Kathy Griffin,Pam Grier,Bridget Fonda,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0053,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"What is the name of the Artificial Intelligence system in the 1983 film, ""WarGames""?",War Operation Plan Response,Self Evolving Thought Helix,Master Control Program,West Campus Analog Computer,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0054,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,Which singer is portrayed by Bruce Campbell in the 2002 film 'Bubba Ho-Tep'?,Elvis Presley,Johnny Cash,"Hank Williams, Sr.",Buddy Holly,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0055,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"In the movie “The Iron Giant,” this character is the protagonist.",Hogarth Hughes,Kent Mansley,Dean McCoppin,Annie Hughes,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0056,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"In the 1974 Christmas flick ""The Year Without a Santa Claus,"" what are the names of the two elves who help Mrs. Claus save Christmas?",Jingle & Jangle,Buddy & Bobby,Holly & Jolly,Snowflake & Icicle,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0057,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Who did the score to the original Blade Runner?,Vangelis,Kitaro,Yanni,Enya,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0058,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Which movie contains the quote, ""Say hello to my little friend!""?",Scarface,Reservoir Dogs,Heat,Goodfellas,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0059,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"How much money did the 2019 Marvel movie ""Avengers: Endgame"" gross for it's record-breaking worldwide opening weekend?",1.2 billion USD,640 million USD,456 million USD,392 million USD,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0060,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Which of the following films was NOT directed by Quentin Tarantino?,From Dusk till Dawn,Jackie Brown,Pulp Fiction,Reservoir Dogs,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0061,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Which one of these action movies are shot entirely in one take?,Victoria,Ip Man 2,The Bourne Legacy,Léon: The Professional,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0062,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Who voiced the character Draco in the 1996 movie 'DragonHeart'?,Sean Connery,Dennis Quaid,Pete Postlethwaite,Brian Thompson,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0063,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Max Schreck, a famous German silent film actor, plays a famous monster in which 1922 film?",Nosferatu,Frankenstein ,The Headless Horseman,Häxan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0064,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"What American actor directed and co-starred alongside Emily Blunt in 2018's horror film ""A Quiet Place""?",John Krasinski,Keanu Reeves,Willem Dafoe,Josh Brolin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0065,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,In which African country was the 2006 film 'Blood Diamond' mostly set in?,Sierra Leone,Liberia,Burkina Faso,Central African Republic,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0066,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,The Simpsons Movie,Spider-Man 3,Shrek the Third,Ratatouille,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0067,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"What is the name of the island that ""Jurassic Park"" is built on?",Isla Nublar,Isla Sorna,Isla Muerta,Isla Pena,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0068,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,In which movie does Robin Williams' character have to disguise themselves into a woman?,Mrs. Doubtfire,Old Dogs,Jumanji,Awakenings,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0069,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"In the Lord of the Rings: The Two Towers, where are the party of orcs taking the hobbits?",Isengard,Rivendell,Mordor,Moria,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0070,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Which of the following was not one of ""The Magnificent Seven""?",Clint Eastwood,Steve McQueen,Charles Bronson,Robert Vaughn,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0071,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"In the 1979 British film ""Quadrophenia"" what is the name of the seaside city the mods are visiting?",Brighton,Eastbourne,Mousehole,Bridlington,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0072,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?",Tom Bombadil,Strider,Barliman Butterbur,Celeborn,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0073,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,What was the wifi password given to Stephen Strange in Doctor Strange?,Shambala,Peace,Ancient,Chakra,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0074,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"In the film ""Harry Potter and the Order of The Phoenix"", why was Harry Potter's scream, after Sirius Black died, muted?",Too Agonizing,Too Loud,Too Harsh,Too Violent,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0075,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"In what Disney movie can you spot the character ""Pac-Man"" in if you look closely enough in some scenes?",Tron,Big Hero 6,Fantasia,"Monsters, Inc.",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0076,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Who is the main protagonist in, the 1985 film, Back to the Future?",Marty McFly,"Emmett ""Doc"" Brown",Biff Tannen,George McFly,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0077,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"Which stand-up comedian voiced the talking parrot ""Iago"" in Disney's 1992 adaptation of Aladdin?",Gilbert Gottfried,Robin Williams,Pauly Shore,Jonathan Freeman,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0078,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"Which of the following actors does not play a role in the movie ""The Usual Suspects?""",Steve Buscemi,Kevin Spacey,Benicio Del Toro,Gabriel Byrne,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0079,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"What three movies, in order from release date, make up the ""Dollars Trilogy""?","""A Fistful of Dollars"", ""For a Few Dollars More"", ""The Good, the Bad, and the Ugly""","""The Good, the Bad, and the Ugly"", ""For A Few Dollars More"", ""A Fistful of Dollars""","""For a Few Dollars More"", ""The Good, the Bad, and the Ugly"", ""A Fistful of Dollars""","""For a Few Dollars More"", ""A Fistful of Dollars"", ""The Good, the Bad, and the Ugly""",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0080,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,Which movie includes a giant bunny-like spirit who has magic powers including growing trees?,My Neighbor Totoro,Hop,Rise of the Guardians,Alice in Wonderland,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0081,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"According to ""Star Wars"" lore, which planet does Obi-Wan Kenobi come from?",Stewjon,Alderaan,Tatooine,Naboo,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0082,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"What is the name of the assassin in the first ""Hellboy"" movie?",Karl Ruprecht Kroenen,Klaus Werner von Krupt,Grigori Efimovich Rasputin,Ilsa Haupstein,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0083,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,The killer in the 1981 film 'My Bloody Valentine' wears what sort of outfit?,Mining gear,Clown costume,Santa suit,Police uniform,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0084,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Who directed the 2017 movie ""The Shape of Water""?",Guillermo del Toro,Steven Spielberg,James Cameron,Martin Scorsese,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0085,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,"What did Alfred Hitchcock use as blood in the film ""Psycho""? ",Chocolate syrup,Ketchup,Red food coloring,Maple syrup,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0086,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"In the movie ""Spaceballs"", what are the Spaceballs attempting to steal from Planet Druidia?",Air,The Schwartz,Princess Lonestar,Meatballs,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0087,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Leonardo Di Caprio won his first Best Actor Oscar for his performance in which film?,The Revenant,The Wolf Of Wall Street,Shutter Island,Inception,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0088,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"What is the name of the character Nicolas Cage plays in the movie ""National Treasure?""",Benjamin Franklin Gates,Thomas Jefferson Walker,George Washington Swanson,John Quincy Beckett,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0089,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"What is the name of James Dean's character in the 1955 movie ""Rebel Without a Cause""?",Jim Stark,Ned Stark,Jim Kane,Frank Stark,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0090,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"In the film ""Requiem for a Dream"", what drug does Jared Leto's character get addicted to?",Heroin,Cocaine,Marijuana,Oxycodone,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0091,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,"Who is the director of the 1991 film ""Silence of the Lambs""?",Jonathan Demme,Stanley Kubrick,Frank Darabont,Michael Bay,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0092,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,Which movie did NOT feature the late actor John Candy?,Ghostbusters,Little Shop Of Horrors,Home Alone,Planes Trains and Automobiles,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0093,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"What breed of dog was Marley in the film ""Marley & Me"" (2008)?",Labrador Retriever,Golden Retriever,Dalmatian,Shiba Inu,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0094,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,"Who plays Jack Burton in the movie ""Big Trouble in Little China?""",Kurt Russell,Patrick Swayze,John Cusack,Harrison Ford,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0095,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,hard,Who Voices the Devil on Devil's Flight in Final Destination 3?,Tony Todd,Wendy Christensen,Ian McKinley,Kevin Fischer,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0096,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,medium,Actress Susan Sarandon caught pneumonia during filming of which movie?,The Rocky Horror Picture Show,Thelma and Louise,Dead Man Walking,Enchanted,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0097,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Film,easy,What is the oldest Disney film?,Snow White and the Seven Dwarfs,Pinocchio,Dumbo,Fantasia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
