id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
handcrafted_0011,Muzîk,ku-kmr,"Di performansa dengbêj de kîjan taybetmendî bingehîn e, lê amûra muzîkê şert nîne?",Amûra muzîkê ya ku her tim li pey dengê stranbêj dikeve.,"Vegotina bi deng, bi stran û bi gotinê.",Pêdiviya ku hemû stran tenê bi notayên nivîskî bêne pêşkêşkirin.,Bikaranîna orkestraya mezin di her performansê de.,B,"Di kevneşopiya dengbêj de deng û vegotin bingeh in; hin performans dikarin bê amûrên muzîkê jî bêne kirin, ji ber vê yekê amûr şertê bingehîn nîne.",2,Dengbe-Lik and Melisma Technique – Batman University,https://dergipark.org.tr/tr/pub/buyasambid/article/320961,PENDING_EDITORIAL_APPROVAL,"Soru, 'müzik = mutlaka enstrüman' varsayımını sorguluyor; yanlışlar bilinçli olarak aşırı genelleme içeriyor."
handcrafted_0012,Muzîk,ku-kmr,"Di peyva «dengbêj» de, «deng» û «bej» bi kîjan wateyên bingehîn re têne girêdan?",Reng û dîtin,Deng û gotin,Çiya û av,Roj û şev,B,"Di ravekirina peyvê de «deng» bi dengê mirovan, û «bej» bi gotin an vegotinê re tê girêdan; ev yek ji aliyên wateya dengbêjî ye.",2,The Dengbêj – Kurdipedia,https://kurdipedia.org/default.aspx/default.aspx?lng=4&q=20230727084402509827,PENDING_EDITORIAL_APPROVAL,Kısa ama içerik taşıyan bir terminoloji sorusu; seçenekler biçimsel olarak benzer tutuldu.
handcrafted_0013,Siyaset,ku-kmr,"Li gorî çarçoveya mafên mirovan, mafê beşdarbûna siyasî kîjan komê mafan dihewîne?","Tenê mafê dengdanê, bê mafê namzedbûnê","Beşdarbûna rasterast an bi nûnerên azad hilbijartî, dengdan û gihiştina wekhev bo karên giştî","Tenê mafê karê di sazîyekê de, bê mafê axaftinê","Tenê mafê endamtiya di partiyekê de, bê mafê dengdanê",B,"OHCHR beşdarbûna siyasî bi beşdarbûna rasterast an bi nûneran, mafê dengdanê û mafê gihiştina wekhev bo karên xizmeta giştî ve girê dide.",3,Human Rights and Elections – OHCHR,https://www.ohchr.org/Documents/Publications/Human-Rights-and-Elections.pdf,PENDING_EDITORIAL_APPROVAL,"Şıklar, katılımı yalnızca oy vermeye indirgeyen yaygın yanlış anlamaları ayırıyor."
handcrafted_0014,Siyaset,ku-kmr,Kîjan rewş mînakek ji beşdarbûna siyasî ya rasterast e?,Hemwelatiyek pêşniyarekê ji sazîya giştî re dişîne û di civînekî giştî de beşdar dibe.,Kesek tenê navê xwe di lîsteya stranên guhdarîkirî de dinivîse.,Kesek nexşeya malê xwe diguhezîne.,Kesek li ser dîroka malbata xwe dixwîne.,A,"Beşdarbûna siyasî ya rasterast dikare bi daxwaz, pêşniyar, axaftina giştî, kombûn an çalakiyên aştiyane yên civakî bê kirin; ew tenê dengdan nîne.",3,Handbook on Governance Statistics – OHCHR,https://www.ohchr.org/sites/default/files/Documents/Issues/HRIndicators/handbook_governance_statistics.pdf,PENDING_EDITORIAL_APPROVAL,Soru tanımı günlük bir duruma taşıyor; üç yanlış seçenek siyaset dışı ama absürt olmayan eylemlerden seçildi.
handcrafted_0015,Paradigma,ku-kmr,"Di analîza intersectionality de, çima tenê li ser yek cudahiyê, wekî zayendê, rawestan dikare kêmasî be?",Ji ber ku hemû kes di civakê de heman ezmûnê dijîn.,"Ji ber ku şertên wekî zayend, nijad, çîn û seqemahî dikarin bi hev re bandorê li ezmûn û hêzê bikin.",Ji ber ku analîz divê tenê li ser dîroka dewletan be.,Ji ber ku cudahiyên civakî bi awayekî zanistî nayên lêkolînkirin.,B,Intersectionality dişopîne ka çawa gelek xetên nasname û tunekirinê bi hev re û ne tenê bi awayekî cudaye bandorê li jiyana mirovan dikin.,3,Feminist Metaphysics – Stanford Encyclopedia of Philosophy,https://plato.stanford.edu/entries/feminism-metaphysics/,PENDING_EDITORIAL_APPROVAL,"Kavramsal soru, tanımı ezberletmek yerine tek eksenli analiz ile çoklu etkileşimi karşılaştırıyor."
handcrafted_0016,Paradigma,ku-kmr,"Di felsefeya siyasî ya femînîst de, berfirehkirina qada «siyasetê» çi tê wate kirin?",Tenê karên parlamentoyê siyasî tên hesibandin.,Têkiliyên hêzê di civaka sivîl û malbatê de jî dikarin bibin mijara lêkolîna siyasî.,Siyaset ji her cure têkiliya civakî tamamen cuda ye.,Lêkolîn divê tenê li ser qanûnên aborî raweste.,B,Felsefeya siyasî ya femînîst balê dikişîne ser vê yekê ku hêz û rêveberî tenê di dewletê de nayên dîtin; civaka sivîl û qada malbatê jî dikarin têkiliyên hêzê hilberînin.,3,Feminist Political Philosophy – Stanford Encyclopedia of Philosophy,https://plato.stanford.edu/archives/win2023/entries/feminism-political/,PENDING_EDITORIAL_APPROVAL,"Soru, paradigmanın kapsam değişimini ölçüyor; yanlışlar kavramı daraltan iddialar olarak yazıldı."
movement_00001,Ziman,ku-kmr,"Di armancên destpêkê yên Hawarê de, kîjan kom ji mijaran bi hev re hatibû dîtin?","Belavkirina alfabeyê, lêkolîna ziman û wêje, û parastina dîrok û çandê",Tenê bazirganiya pirtûkan û rêxistina bazaran,Tenê perwerdehiya leşkerî û amadekirina nexşeyên şer,Tenê nivîsandina helbestên olî bê mijarên civakî,A,"Di destpêka Hawarê de belavkirina alfabeya nû bi lêkolîna ziman, wêje, stran, adet, dîrok û erdnîgariyê re hatibû girêdan.",2,Hawar Archive – NYKCC,https://nykcc.org/langauge/hawar-archive/,PENDING_EDITORIAL_APPROVAL,Hawar’ın yayın hedeflerini tek bir alfabe bilgisine indirgemiyor; basın ile kültür arasındaki bağı ölçüyor.
movement_00002,Ziman,ku-kmr,"Li gorî belgeya Kongra Star, peyva «jineolojî» ji aliyê avakirina peyvê ve bi çi re tê girêdan?",Bi «jin» (jin) û hêmanekî ku bi zanîn û lêkolînê re têkildar e,Bi navê yek ji çiyayên Rojava û navê kovareke dîrokî,Bi navê cureyekî stranê ku tenê bê amûr tê gotin,Bi peyva ku tenê wateya rêxistin û komîteyê dide,A,Belgeya Kongra Star «jin» bi jinê re û «-olojî» bi zanîn û lêkolîna zanistî re girêdide; belge her wiha wateya tevgerê ya têgehê jî rave dike.,2,Kongra Star – Jineology booklet,https://internationalistcommune.com/wp-content/uploads/2023/12/k-star_compressed.pdf,PENDING_EDITORIAL_APPROVAL,"Terim bilgisi, hareketin kendi kitapçık metninden alındı; genel akademik tanım gibi sunulmadı."
movement_00003,Edebiyat,ku-kmr,Kîjan rêza beşan bi pirtûka The Political Thought of Abdullah Öcalan re li gorî pêşkêşkirina weşangerê hevaheng e?,"Şer û aştiyê li Kurdistanê, Konfederalîzma Demokratîk, Şoreşa Jinê û Neteweya Demokratîk","Rêziman, astronomî, botanîk û hesabên bazirganiyê","Mem û Zîn, Nûbihara Biçûkan, Dîwana Cizîrî û Şêx Sen'an","Dengbêjî, govend, tembûr û stranên Newrozê",A,"Pluto Press di naveroka pirtûkê de perspektîfên li ser şer û aştiyê, konfederalîzma demokratîk, şoreşa jinê û neteweya demokratîk dide nîşandan.",3,The Political Thought of Abdullah Öcalan – Pluto Press,https://www.plutobooks.com/product/the-political-thought-of-abdullah-ocalan/,PENDING_EDITORIAL_APPROVAL,Kitabın bölüm başlıklarını doğrudan yayınevi kaynağından ölçüyor; ideolojik değerlendirme eklemiyor.
movement_00004,Edebiyat,ku-kmr,"Di belgeya Jineolojî ya Kongra Star de, rexneyek bingehîn li ser hilberîna zanînê çi ye?",Ku gotina bêalî û objektîf dikare dengên jinan û komên marjînal ji nav bibe.,Ku hemû zanîn tenê bi helbestê tê hilberandin.,Ku lêkolîn divê ji jiyana civakê bi tevahî dûr bimîne.,Ku dîrok û ezmûna kesane di zanînê de qîmeta wan tune ye.,A,Belge rexne dike ku pergala zanînê ya serdest bi navê bêalîbûnê dikare ezmûn û dengên ne-serdest ji objeyên lêkolînê re bikemilîne.,3,Kongra Star – Jineology booklet,https://internationalistcommune.com/wp-content/uploads/2023/12/k-star_compressed.pdf,PENDING_EDITORIAL_APPROVAL,"Kuramsal bir pasajı, yazarın iddiası ile genel bilimsel uzlaşıyı karıştırmadan soruyor."
movement_00005,Dîrok,ku-kmr,Kongra Star di destpêkê de bi kîjan navî di sala 2005an de hat damezrandin?,Yêkitiya Star,Hawar,Jinên Kurdistanê,Komîteya Arşîvê,A,"Li gorî belgeya Kongra Star, rêxistin di sala 2005an de bi navê Yêkitiya Star hat damezrandin û paşê navê Kongra Star bi kar anî.",2,Kongra Star – About Us,https://kongra-star.org/eng/about-us/,PENDING_EDITORIAL_APPROVAL,Kuruluş adı ve tarihini doğrudan kurumun öz tanımından alıyor.
movement_00006,Dîrok,ku-kmr,"Li gorî belgeya Kongra Star, di 19ê Tîrmeha 2012an de çi bû?","Di destpêka şoreşa jinan li Rojava de, tevgera jinan roleke pêşeng lîst.",Weşandina hejmara yekem a Hawarê li Şamê dest pê kir.,Rojnameya Kurdistanê li Qahîreyê hat damezrandin.,Komîteya Arşîvê ya Kongra Star hate damezrandin.,A,Belgeya Kongra Star 19ê Tîrmeha 2012an wekî destpêka şoreşa jinan li Rojava dide nîşandan û rola pêşeng a tevgera jinan vedibêje.,2,Kongra Star – About Us,https://kongra-star.org/eng/about-us/,PENDING_EDITORIAL_APPROVAL,Tarihsel olay ile kurumun kendi anlatısı açıkça ayrıştırıldı.
movement_00007,Cografya,ku-kmr,Kongra Star xebata xwe li kîjan qadê û bi kîjan torê herêmî pêşkêş dike?,"Li Rojava û bakur û rojhilatê Sûriyê; her wiha nivîsgehên wê li Başûrê Kurdistanê, Lubnanê û Ewropayê hene.",Tenê li Şamê û bejahiyên Misrê.,Tenê li herêmên ku Hawar di wan de hat çapkirin.,Tenê li bajarên ku li ser çiyayên Zagrosê ne.,A,"Di pênaseya xwe de Kongra Star xebata li Rojava, bakur û rojhilatê Sûriyê û nivîsgehên li Başûrê Kurdistanê, Lubnanê û Ewropayê dide nîşandan.",2,Kongra Star – About Us,https://kongra-star.org/eng/about-us/,PENDING_EDITORIAL_APPROVAL,Kuruluşun coğrafi kapsamını tek bir bölgeye indirgeyen çeldiriciler kullanıldı.
movement_00008,Cografya,ku-kmr,"Di bultena salane ya Kongra Star de, civîna salane ya asta Rojava bi çi pêvajoyê re hatiye pêwendîkirin?","Bi nirxandina rewşa siyasî, rewşa jinan û xebata sala borî; paşê bernameya sala bê bi hev re hatiye amadekirin.",Bi tenê hilbijartina nûnerên komîteya arşîvê.,Bi berhevkirina nexşeyên rêwîtiyê ji bo herêmên çiyayî.,Bi guherandina alfabeya kovarên dîrokî.,A,"Bultenê dibêje ku civîn rewşa siyasî, rewşa jinan û xebata sala borî nirxand û li ser bingeha van nirxandinan bernameya sala bê bi hev re pêk anî.",3,Kongra Star – Women’s Revolution Newsletter,https://kongra-star.org/eng/wp-content/uploads/2025/01/Annual-Newsletter-of-the-Womens-Revolution.pdf,PENDING_EDITORIAL_APPROVAL,"Güncel bir bülten maddesi, kurum içi değerlendirme süreci olarak soruldu."
movement_00009,Çand,ku-kmr,Komîteya çapemeniyê ya Kongra Star li gorî pênaseya wê kîjan karî dike?,Platformên çapemeniya jinan yên serbixwe pêş dixe û li dijî nîşandanên seksîst dixebite.,Tenê amûrên muzîkê yên kevn kom dike.,Tenê li ser dîroka çiyayên Zagrosê lêkolîn dike.,Tenê pirtûkên edebiyata klasîk çap dike.,A,Komîteya çapemeniyê xwe ji bo pêşxistina çapemeniya alternatîf a jinan û rexnekirina nîşandanên seksîst di medyayê de berpirsiyar dide naskirin.,2,Kongra Star – About,https://kongra-star.org/eng/about/,PENDING_EDITORIAL_APPROVAL,Basın komitesinin görevini kurumun medya metni üzerinden ölçüyor; slogan tekrarı yapmıyor.
movement_00010,Çand,ku-kmr,"Komîteya arşîvê ya Kongra Star çima belge, wêne û materyalên medyayê diparêze?",Ji bo parastina bîranîna rêxistinê û ji bo ku ji bo lêkolîna paşerojê şahidî bimînin.,Ji bo ku hemû materyal bêyî şert li ser medyaya civakî bên belavkirin.,Ji bo ku cihê komîteyên nû bigirin.,Ji bo ku nivîsên Hawarê ji nû ve bi alfabeya latînî wergerînin.,A,"Li gorî pênaseya komîteyê, arşîv belge û wêneyên orîjînal diparêze da ku bîranîna rêxistinê bimîne û materyal ji bo analîza paşerojê amade be.",2,Kongra Star – About,https://kongra-star.org/eng/about/,PENDING_EDITORIAL_APPROVAL,Arşiv işlevini görünür kılıyor; seçenekteki yanlışlar aynı kurumun görev alanlarından değil.
movement_00011,Muzîk,ku-kmr,"Di rapora ANFê de, stranê Canción sin miedo ji bo bîranîna Nagihan Akarsel û jinên hatine kuştin çi erkî digire ser xwe?","Tenê ji bo kêfxweşiyê nîne; bîranîn, naskirina tundiyê û domandina berxwedanê bi hev ve girê dide.",Tenê wekî straneke kevneşopî ya Newrozê tê pêşkêşkirin.,Tenê ji bo reklama albûmeke nû hatiye çêkirin.,Tenê bi armanca ku dengbêjî ji nav bibe hatiye gotin.,A,Raporek ANFê dibêje ku stran tenê ji bo bîranînê nehatiye gotin; ew bala li ser tundî û domandina berxwedana jinan jî dikişîne.,3,ANF – Andrea Wolf Group releases Canción sin miedo,https://anfenglishmobile.com/features/andrea-wolf-group-releases-cancion-sin-miedo-for-nagihan-akarsel-63293,PENDING_EDITORIAL_APPROVAL,"Müzik sorusu, parçayı yalnızca sanat türü olarak değil basın metnindeki toplumsal işleviyle ele alıyor."
movement_00012,Muzîk,ku-kmr,"Di heman rapora ANFê de, koma Andrea Wolf stranê ji bo kîjan kes û mijaran pêşkêş kir?",Ji bo Nagihan Akarsel û hemû jinên ku hatine kuştin; bi mijara bîranîn û dijberiya li hember tundiyê.,Ji bo tenê birêvebirên kovara Hawarê.,Ji bo tenê şairên dibistana Kurmancî ya klasîk.,Ji bo tenê komîteya dîrokê ya Rojava.,A,Raporek ANFê koma Andrea Wolfê bi stranê Nagihan Akarsel û hemû jinên ku hatine kuştin bi bîr tîne û li ser berdewamkirina têkoşînê raweste.,2,ANF – Andrea Wolf Group releases Canción sin miedo,https://anfenglishmobile.com/features/andrea-wolf-group-releases-cancion-sin-miedo-for-nagihan-akarsel-63293,PENDING_EDITORIAL_APPROVAL,Doğru seçenek hem kişi hem tema bağını kuruyor; yanlışlar farklı kültür alanlarını karıştırıyor.
movement_00013,Siyaset,ku-kmr,"Li gorî pênaseya Kongra Star, rêxistin ji kîjan yekîneyan pêk tê?","Komûn, meclîs, akademî, kooperatîf û komîte.",Tenê parlamentoyek navendî û yek komîteya çapemeniyê.,"Tenê kovar, pirtûkxane û arşîv.",Tenê dibistanên ziman û komên muzîkê.,A,"Pênaseya Kongra Star komûn, meclîs, akademî, kooperatîf û komîteyan wekî beşên rêxistinê rêz dike; kongreya giştî jî her du salan carekê tê lidarxistin.",3,Kongra Star – About Us,https://kongra-star.org/eng/about-us/,PENDING_EDITORIAL_APPROVAL,Kurumun yapısal bileşenlerini soruyor; doğru şıkta aynı işleyişin farklı katmanları birlikte verildi.
movement_00014,Siyaset,ku-kmr,"Di pênaseya Kongra Star de, «neteweya demokratîk» bi kîjan nêzîkatiyê re tê ravekirin?","Gel bi avakirina sazîyên xweser ên xwe di civakê de netewe dike, bê ku tenê li hêz û dewletê piştrast bibe.",Netewe tenê bi yek ziman û yek komê dide pênasekirin.,Netewe bi rakirina hemû sazîyên civakî tê avakirin.,Netewe bi şertê ku hemû biryar ji navendekê ve werin dayîn tê çêkirin.,A,"Di pênaseya Kongra Star de neteweya demokratîk bi avakirina sazîyên xweser ên parastin, aborî, hiqûq, civak, dîplomasî û çandê re tê girêdan.",3,Kongra Star – About Us,https://kongra-star.org/eng/about-us/,PENDING_EDITORIAL_APPROVAL,"Kurumun kavramı, kurumsal metindeki açıklamasıyla sınırlandırıldı; dışarıdan tanım eklenmedi."
movement_00015,Paradigma,ku-kmr,"Li gorî pirtûka The Political Thought of Abdullah Öcalan, kîjan sê mijar di nav navê pirtûkê de bi hev re tên girêdan?","Kurdistan, şoreşa jinê û konfederalîzma demokratîk.","Hawar, Ferheng û dengbêjî.","Zagros, Newroz û Memê Alan.","Rêziman, muzîk û erdnîgarî.",A,"Navê pirtûkê bi şêwazekî eşkere Kurdistan, şoreşa jinê û konfederalîzma demokratîk wekî sê mijarên sereke pêşkêş dike.",3,The Political Thought of Abdullah Öcalan – Pluto Press,https://www.plutobooks.com/product/the-political-thought-of-abdullah-ocalan/,PENDING_EDITORIAL_APPROVAL,"Kitabın başlığını ezber değil, kavramsal çerçeve olarak ölçüyor."
movement_00016,Paradigma,ku-kmr,"Di pirtûka The Sociology of Freedom de, li gorî ravekirina weşangerê, kîjan qadên fikirê derdikevin pêş?","Hebûn û azadî, xwezayê û felsefe, anarsîzm û ekolojî.",Tenê dîroka çapemeniyê û rêziman.,Tenê teknîka avakirina amûrên muzîkê.,Tenê rêbazên hilbijartina nûnerên parlamentoyê.,A,"Ravekirina weşangerê The Sociology of Freedom mijarên wekî hebûn û azadî, xweza û felsefe, anarsîzm û ekolojî dide nîşandan.",3,The Sociology of Freedom – Independent Publishers Group,https://www.ipgbook.com/the-sociology-of-freedom-products-9781629637105.php,PENDING_EDITORIAL_APPROVAL,Kitap kaynağıyla paradigma sorusunu destekliyor; cevapta kitabın konu alanları korunuyor.
movement3_0001,Ziman,ku-kmr,Ronahî di têkiliya xwe ya bi Hawarê re çawa tê pênasekirin?,Wekî pêvekeke wêneyî ya kovara Hawarê.,Wekî rojnameyekê ku li Qahîreyê di sala 1898an de dest pê kir.,Wekî kovareke ku tenê li ser muzîka klasîk a Kurdî nivîsî.,Wekî pirtûkxaneya fermî ya Kongra Star.,A,Katalogên pirtûkxaneyê Ronahî wekî pêveka wêneyî ya kovara Kurdî Hawarê nîşan didin; weşandina wê li Şamê di 1942–1945an de hatiye tomar kirin.,2,Ronahî – CiNii Journals,https://ci.nii.ac.jp/ncid/AB00048098,PENDING_EDITORIAL_APPROVAL,Kısa bir yayın ilişkisini tarih ve tür bilgisiyle birlikte ölçüyor.
movement3_0002,Ziman,ku-kmr,"Di pênaseya Pirtûkxaneya Jinên Kurdistanê de, pirtûka destpêkê ya Jineolojî bi çi awayî tê naskirin?","Wekî danasîna kurt a Jineolojî, zanista jinê û jiyanê.",Wekî ferhengoka erebî-Kurmancî ya Ehmedê Xanî.,Wekî arşîva kovara Hawarê ya di Şamê de.,Wekî pirtûka rêzimanê ji bo xwendekarên zaravayê Soranî.,A,"Pirtûkxane û navenda arşîvê pirtûkê wekî danasîna kurt a Jineolojî, ku bi zanista jinê û jiyanê tê naskirin, pêşkêş dike.",3,Kurdish Women’s Library – What is Jineolojî,https://pirtukxaneyajinenkurdistan.com/en/post/what-is-jineoloji/,PENDING_EDITORIAL_APPROVAL,"Hareketin kendi eğitim materyalini, başka bir klasik eserle karıştırmadan ölçüyor."
movement3_0003,Edebiyat,ku-kmr,Pirtûka Revolution in Rojava: Democratic Autonomy and Women’s Liberation li ser kîjan du mijarên sereke raweste?,Xweseriya demokratîk û azadiya jinan li Kurdistana Sûriyê.,Rêzimanê Hawarê û dîroka Mem û Zînê.,Tenê muzîka dengbêjan û stranên Newrozê.,Tenê dîroka aborî ya Zagrosê û çiyayên Bahtiyarî.,A,Nav û danasîna pirtûkê dîroka ceribandina Rojava bi xweseriya demokratîk û azadiya jinan ve girê dide.,3,Revolution in Rojava – Pluto Press / David Graeber,https://davidgraeber.org/books/revolution-in-rojava/,PENDING_EDITORIAL_APPROVAL,Kitap başlığını iki kavramın ilişkisi üzerinden ölçüyor; hareket propagandası gibi yazılmadı.
