id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
wikidata_translated_1_0011,Cografya,ku-kmr,Paytexta Almanya kîjan bajar e?,Cairo,Budapest,Berlin,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Almanya Berlin e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0011
wikidata_translated_1_0012,Cografya,ku-kmr,Paytexta Grînland kîjan bajar e?,Budapest,Nuuk,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Grînland Nuuk e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0013
wikidata_translated_1_0013,Cografya,ku-kmr,Paytexta Andorra kîjan bajar e?,Andorra la Vella,Canberra,Cairo,Budapest,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Andorra Andorra la Vella e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0014
wikidata_translated_1_0014,Cografya,ku-kmr,Paytexta Kirîbatî kîjan bajar e?,Canberra,Cairo,Budapest,South Tarawa,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Kirîbatî South Tarawa e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0015
wikidata_translated_1_0015,Cografya,ku-kmr,Paytexta Swêd kîjan bajar e?,Cairo,Budapest,Stockholm,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Swêd Stockholm e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0016
wikidata_translated_1_0016,Cografya,ku-kmr,Paytexta Hindistan kîjan bajar e?,Budapest,New Delhi,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Hindistan New Delhi e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0017
wikidata_translated_1_0017,Cografya,ku-kmr,Paytexta Îzlanda kîjan bajar e?,Reykjavík,Canberra,Cairo,Budapest,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Îzlanda Reykjavík e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0018
wikidata_translated_1_0018,Cografya,ku-kmr,Paytexta Hollanda kîjan bajar e?,Canberra,Cairo,Budapest,Amsterdam,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Hollanda Amsterdam e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0019
wikidata_translated_1_0019,Cografya,ku-kmr,Paytexta Timor-Rojhilat kîjan bajar e?,Cairo,Budapest,Dili,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Timor-Rojhilat Dili e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0020
wikidata_translated_1_0020,Cografya,ku-kmr,Paytexta Lîtvanya kîjan bajar e?,Budapest,Chișinău,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Lîtvanya Chișinău e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0021
wikidata_translated_1_0021,Cografya,ku-kmr,Paytexta Lîhtenştayn kîjan bajar e?,Tbilisi,Canberra,Cairo,Budapest,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Lîhtenştayn Tbilisi e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0022
wikidata_translated_1_0022,Cografya,ku-kmr,Paytexta Meksîko kîjan bajar e?,Canberra,Cairo,Budapest,Tokyo,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Meksîko Tokyo e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0023
wikidata_translated_1_0023,Cografya,ku-kmr,Paytexta Moldova kîjan bajar e?,Cairo,Budapest,Vilnius,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Moldova Vilnius e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0024
wikidata_translated_1_0024,Cografya,ku-kmr,Paytexta Norwêc kîjan bajar e?,Budapest,Addis Ababa,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Norwêc Addis Ababa e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0025
