id,category,prompt_lang,prompt,correct_answer
offline_6343,Çand,ku,Li jêr ji bo \'tûtik\' kîjan rast e?,geleneksel kaval benzeri çalgı
offline_6365,Çand,ku,Derbarê \'zembîlfiroş\' de kîjan rast e?,meşhur Kürt halk hikayesi
offline_6380,Çand,ku,Derbarê \'bêrîvan\' de agahiya herî rast kîjan e?,koyun sağan kadınların kültürel rolü
offline_6465,Çand,ku,Ji bo Çandê derbarê \'sersal\' de vebijêrka rast kîjan e?,Kürt halk takviminde yılbaşı kutlaması
offline_6523,Çand,ku,Di çarçoveya Çandê de \'şîlan\' çawa divê bê fêmkirin?,yabani gül ve bitkisel çay geleneği
offline_6530,Çand,ku,"Dema \'kelaş\' tê gotin, çi tê xwestin?",el yapımı geleneksel Kürt ayakkabısı
offline_6541,Çand,ku,Derbarê \'qazîn\' de vebijêrka rast kîjan e?,geleneksel kadın oyunları veya dansları
offline_6560,Çand,ku,Derbarê \'çilkez\' de agahiya herî rast kîjan e?,geleneksel Kürt saç örgüsü modeli
offline_6575,Çand,ku,Kîjan têgiha \'şabaş\' rast şirove dike?,müzisyenlere bahşiş atma geleneği
offline_6610,Çand,ku,\'lûr\' çawa tê pênasekirin?,Kürt halk müziğinde ağıt benzeri ezgi
offline_6626,Çand,ku,Derbarê \'ağıt\' de agahiya herî rast kîjan e?,duygu ve toplumsal hafıza
offline_6642,Çand,ku,"Dema \'misafirperverlik\' tê gotin, çi tê xwestin?",toplumsal dayanışma
offline_6803,Çand,ku,Kîjan têgiha \'lûr\' rast şirove dike?,Kürt halk müziğinde ağıt benzeri ezgi
offline_6838,Çand,ku,Bi \'şax\' çi tê xwestin? ya rast çi ye?,şırnak yöresine ait geleneksel dans
offline_6937,Çand,ku,\'bilûr\' bi awayekî rast çawa tê ravekirin?,kaval benzeri geleneksel üflemeli çalgı
offline_7015,Dîrok,ku,Di zanîna dîrokê de der barê \'Kürdistan Eyaleti\' de ya rast kîjan e?,Osmanlı\'da 1847\'de kurulan kısa süreli idari eyalet
offline_7058,Dîrok,ku,Li jêr kîjan têgiha \'Mezopotamya\' rave dike?,Dicle ve Fırat çevresindeki tarihsel bölge
offline_7066,Dîrok,ku,\'Dersim 1937\' bi kîjan aliyê xwe ve tê nasîn?,Dersim bölgesinde yaşanan askeri harekat ve kriz
offline_7135,Dîrok,ku,Ji bo \'Cizre\' pênaseya derbasdar kîjan e?,Botan emirliğinin ve tarihsel kültürün beşiği olan şehir
offline_7145,Dîrok,ku,\'Şeyh Said\' di mijara dîrokê de çi vedibêje?,1925 yılında Kürt hakları için isyan eden lider
offline_7151,Dîrok,ku,\'Baban Emirliği\' bi awayekî rast çawa tê ravekirin?,Süleymaniye merkezli güçlü Kürt prensliği
offline_7163,Dîrok,ku,Di zanîna Dîrokê de derbarê \'Şeyh Said\' de ya rast kîjan e?,1925 yılında Kürt hakları için isyan eden lider
offline_7201,Dîrok,ku,\'Celadet Bedirxan\' wek kî tê naskirin?,Kürt alfabesini geliştiren yayıncı ve aydın
offline_7210,Dîrok,ku,Kîjan kesê/a \'Mîrê Kor\' rast dide nasîn?,Soran emirliğinin kör lakaplı güçlü lideri
offline_7223,Dîrok,ku,Ji bo \'Kasr-ı Şirin Antlaşması\' ravekirina herî dirust kîjan e?,Osmanlı ve Safevi sınırını belirleyen antlaşma
offline_7227,Dîrok,ku,Ji bo \'Halepçe katliamı\' pênaseya derbasdar kîjan e?,1988\'de Kürtlere karşı yapılan kimyasal saldırı
offline_7242,Dîrok,ku,Li jêr kîjan têgiha \'Lozan Antlaşması\' rave dike?,Kürt coğrafyasını dört devlete bölen antlaşma
offline_7247,Dîrok,ku,Li jêr ji bo \'Şengal\' kîjan rast e?,Êzidî Kürtlerin tarihsel yerleşim bölgesi ve kalesi
offline_7249,Dîrok,ku,Di dîrokê de \'Şeyh Mahmud Berzenci\' kî ye?,Irak\'ta kendini Kürdistan kralı ilan eden lider
offline_7257,Dîrok,ku,Di qada Dîrokê de \'Qazi Muhammed\' çi îfade dike?,Mahabad Kürt Cumhuriyeti\'nin cumhurbaşkanı
offline_7260,Dîrok,ku,Îfadeya ku têgiha \'Lozan Antlaşması\' rast vedibêje kîjan e?,Kürt coğrafyasını dört devlete bölen antlaşma
offline_7293,Dîrok,ku,\'Ağrı İsyanları\' bi kîjan aliyê xwe ve tê nasîn?,1927-1930 yılları arasında Ağrı dağı çevresindeki direniş
offline_7300,Dîrok,ku,Li jêr ji bo \'Mela Mahmude Bayazidi\' kîjan rast e?,Kürt örf adetlerini derleyen ilk araştırmacı
offline_7312,Dîrok,ku,Derbarê \'Şeyh Mahmud Berzenci\' de agahiya rast kîjan e?,Irak\'ta kendini Kürdistan kralı ilan eden lider
offline_7335,Dîrok,ku,Derbarê \'Ehmedê Xanî\' de agahiya rast kîjan e?,17. yüzyılda Kürt aydınlanma fikrini yazan şair
offline_7351,Dîrok,ku,Kîjan kesê/a \'Şeyh Said\' rast dide nasîn?,1925 yılında Kürt hakları için isyan eden lider
offline_7360,Dîrok,ku,Ji bo \'Soran Emirliği\' ravekirina herî dirust kîjan e?,Ravanduz merkezli askeri güç biriktiren beylik
offline_7372,Dîrok,ku,Ji aliyê Dîrokê ve ji bo \'Mervaniler\' îfadeya rast kîjan e?,Diyarbakır merkezli ortaçağ Kürt hanedanlığı
offline_7383,Dîrok,ku,Kîjan li gorî pênaseya \'Mahabad Cumhuriyeti\' ye?,1946\'da kurulan ilk kısa ömürlü Kürt devleti
offline_7394,Dîrok,ku,Kîjan pênase bi \'Koçgiri İsyanı\' re li hev tê?,1921\'de Sivas yöresinde gelişen Kürt hareketi
offline_7417,Dîrok,ku,\'tarihsel yorum\' çi îfade dike?,kanıtlardan anlam çıkarma
offline_7443,Dîrok,ku,\'Eyyubiler\' çawa tê pênasekirin?,Selahaddin Eyyubi tarafından kurulan büyük devlet
offline_7451,Dîrok,ku,Di çarçoveya Dîrokê de \'Ağrı İsyanları\' çawa divê bê fêmkirin?,1927-1930 yılları arasında Ağrı dağı çevresindeki direniş
offline_7480,Dîrok,ku,Kîjan vebijêrk tê wateya \'Cizre\'?,Botan emirliğinin ve tarihsel kültürün beşiği olan şehir
offline_7497,Dîrok,ku,\'Mustafa Barzani\' bi kîjan aliyê xwe ve tê nasîn?,Kürt hareketinin efsanevi askeri ve siyasi lideri
offline_7527,Dîrok,ku,\'Amida\' di mijara dîrokê de çi vedibêje?,Diyarbakır\'ın antik çağdaki tarihi ismi ve kalesi
offline_7528,Dîrok,ku,Kîjan kesê/a \'Kürdistan Eyaleti\' rast dide nasîn?,Osmanlı\'da 1847\'de kurulan kısa süreli idari eyalet
offline_7569,Dîrok,ku,Derbarê \'kronoloji\' de ya rast a zanîn çi ye?,olayları zaman sırasına koyma
offline_7598,Dîrok,ku,"Dema \'Kürdistan gazetesi\' tê gotin, çi tê xwestin?",Kahire\'de 1898\'de basılan ilk Kürt gazetesi
offline_7605,Dîrok,ku,Kîjan têgeha \'birincil kaynak\' di nav dîrokê de rast bi cih dike?,Döneminden kalan belge veya nesne (birincil kaynak)
offline_7633,Dîrok,ku,Kîjan kesê/a \'Leyla Qasim\' rast dide nasîn?,Irak rejimi tarafından idam edilen Kürt kadın aktivist
offline_7643,Dîrok,ku,Di çarçoveya Dîrokê de \'Mikdat Mithat Bedirxan\' çawa divê bê fêmkirin?,Kürdistan gazetesini çıkaran ilk Kürt gazeteci
offline_7657,Dîrok,ku,Kîjan kesê/a \'Bitlis Prensliği\' rast dide nasîn?,Osmanlı döneminde özerk kalmış Kürt hükümdarlığı
offline_7668,Dîrok,ku,"Dema \'Halepçe katliamı\' tê gotin, çi tê xwestin?",1988\'de Kürtlere karşı yapılan kimyasal saldırı
offline_7680,Dîrok,ku,Ji aliyê Dîrokê ve ji bo \'Jiyan gazetesi\' îfadeya rast kîjan e?,Süleymaniye\'de basılan erken dönem Kürtçe gazete
offline_7717,Dîrok,ku,Kîjan vebijêrk tê wateya \'Kürt Teali Cemiyeti\'?,20. yüzyıl başında kurulan Kürt örgütü
offline_7753,Dîrok,ku,Derbarê \'Şengal\' de vebijêrka rast kîjan e?,Êzidî Kürtlerin tarihsel yerleşim bölgesi ve kalesi
offline_7763,Dîrok,ku,Derbarê \'Bohtan Emirliği\' de vebijêrka rast kîjan e?,Cizre merkezli önemli Kürt beyliği
offline_7777,Dîrok,ku,Derbarê \'Hawar dergisi\' de vebijêrka rast kîjan e?,Latin alfabesiyle basılan ilk Kürtçe dergi
offline_7778,Dîrok,ku,\'Mervaniler\' çi îfade dike?,Diyarbakır merkezli ortaçağ Kürt hanedanlığı
offline_7798,Dîrok,ku,Li jêr ji bo \'İhsan Nuri Paşa\' kîjan rast e?,Hoybun cemiyeti adına askeri liderlik yapan subay
offline_7803,Dîrok,ku,Kîjan kesê/a \'Mustafa Barzani\' rast dide nasîn?,Kürt hareketinin efsanevi askeri ve siyasi lideri
offline_7832,Dîrok,ku,Derbarê \'Mîrê Kor\' de agahiya rast kîjan e?,Soran emirliğinin kör lakaplı güçlü lideri
offline_7845,Dîrok,ku,Di dîrokê de \'Mustafa Barzani\' kî ye?,Kürt hareketinin efsanevi askeri ve siyasi lideri
offline_7848,Dîrok,ku,Derbarê \'Mahabad Cumhuriyeti\' de agahiya herî rast kîjan e?,1946\'da kurulan ilk kısa ömürlü Kürt devleti
offline_7849,Dîrok,ku,Ji bo \'Kürdistan gazetesi\' pênaseya derbasdar kîjan e?,Kahire\'de 1898\'de basılan ilk Kürt gazetesi
offline_7852,Dîrok,ku,\'Hawar dergisi\' çawa tê pênasekirin?,Latin alfabesiyle basılan ilk Kürtçe dergi
offline_7866,Dîrok,ku,Derbarê \'arkeoloji\' de agahiya herî rast kîjan e?,maddi kalıntılarla geçmişi araştırma
offline_7874,Dîrok,ku,\'Med İmparatorluğu\' bi kîjan aliyê xwe ve tê nasîn?,antik çağda Zagros merkezli büyük güç
offline_7881,Dîrok,ku,Ji aliyê dîrokê ve ji bo \'bandora çandî\' gotina rast kîjan e?,toplumların birbirini etkilemesi
offline_7905,Dîrok,ku,Di zanîna dîrokê de der barê \'Anfal operasyonu\' de ya rast kîjan e?,Irak rejimi tarafından Kürtlere yönelik soykırım
offline_7922,Dîrok,ku,Di çarçoveya Dîrokê de \'Mervaniler\' çawa divê bê fêmkirin?,Diyarbakır merkezli ortaçağ Kürt hanedanlığı
offline_7969,Dîrok,ku,Derbarê \'Celadet Bedirxan\' de ya rast kîjan e?,Kürt alfabesini geliştiren yayıncı ve aydın
offline_8023,Dîrok,ku,Kîjan di Dîrokê de têgiha \'Hasankeyf\' rast bi cih dike?,Dicle nehri üzerinde yer alan binlerce yıllık tarihi kent
offline_8037,Dîrok,ku,Di dîrokê de \'Ehmedê Xanî\' kî ye?,17. yüzyılda Kürt aydınlanma fikrini yazan şair
offline_8066,Dîrok,ku,Kîjan kesê/a \'Anfal operasyonu\' rast dide nasîn?,Irak rejimi tarafından Kürtlere yönelik soykırım
offline_8091,Dîrok,ku,Îfadeya ku têgiha \'Eyyubiler\' rast vedibêje kîjan e?,Selahaddin Eyyubi tarafından kurulan büyük devlet
offline_8108,Cografya,ku,\'Behdînan bölgesi\' di erdnîgariyê de çi îfade dike?,Zaho ve Duhok civarındaki dağlık coğrafi alan
offline_8141,Cografya,ku,Li jêr ji bo \'Derbendihan gölü\' kîjan rast e?,Diyala nehri üzerinde kurulmuş baraj gölü
offline_8149,Cografya,ku,Di çarçoveya Cografyaê de \'Munzur vadisi\' çawa divê bê fêmkirin?,Tunceli\'de yer alan milli park statüsündeki vadi
offline_8200,Cografya,ku,\'Siverek ovası\' di mijara erdnîgariyê de çi vedibêje?,Karacadağ lavlarının oluşturduğu taşlık plato
offline_8230,Cografya,ku,\'Şehrizor ovası\' kîjan hêmana erdnîgariyê ye?,Süleymaniye güneyindeki tarihi verimli düzlük
offline_8242,Cografya,tr,\'Yukarı Fırat bölümü\' neresidir?,Beşê bakurrojava yê bilind ê erdnîgariya Kurdistanê
offline_8247,Cografya,ku,Li jêr ji bo \'Süphan dağı\' kîjan rast e?,Van gölü kuzeyinde yer alan sönmüş volkanik dağ
offline_8255,Cografya,ku,Li jêr ji bo \'Zagros sıradağları\' kîjan rast e?,Kürdistan coğrafyasını baştan başa bölen dağlar
offline_8263,Cografya,ku,Li jêr ji bo \'Botan çayı\' kîjan rast e?,Siirt yöresinden geçip Dicle\'ye dökülen nehir
offline_8316,Cografya,ku,Di qada Cografyaê de \'meşe ormanları\' çi îfade dike?,Kürdistan dağlarının tipik bitki örtüsü ve ağacı
offline_8319,Cografya,ku,\'Nemrut krateri\' li ku / wek çi tê zanîn?,dünyanın en büyük ikinci krater gölüne sahip dağ
offline_8331,Cografya,ku,Ji bo Cografyaê derbarê \'Urmiye gölü\' de vebijêrka rast kîjan e?,Doğu Kürdistan\'da yer alan tuzlu göl havzası
offline_8336,Cografya,ku,\'Şengal dağı\' di erdnîgariyê de çi îfade dike?,Musul ovasının ortasında yükselen stratejik dağ
offline_8376,Cografya,ku,Li jêr ji bo \'Muş ovası\' kîjan rast e?,Fırat\'ın kollarının suladığı büyük tarım ovası
offline_8384,Cografya,ku,Di zanîna erdnîgariyê de der barê \'Hewler ovası\' de ya rast kîjan e?,Güney Kürdistan\'ın en verimli tarım ovası
offline_8473,Cografya,ku,Derbarê \'Van gölü\' de ya rast kîjan e?,dünyanın en büyük sodalı gölü olan havza
offline_8479,Cografya,ku,Ji bo \'Yüksekova\' ravekirina herî dirust kîjan e?,Hakkari\'de yer alan yüksek rakımlı tektonik ova
offline_8480,Cografya,ku,Derbarê \'Karacadağ\' de vebijêrka rast kîjan e?,Diyarbakır ovasında yer alan yayvan bazaltik volkan
offline_8523,Cografya,ku,Di zanîna erdnîgariyê de der barê \'Dicle nehri\' de ya rast kîjan e?,Diyarbakır surlarının altından geçen nehir
offline_8561,Cografya,ku,Ji bo \'akdeniz iklimi\' ravekirina herî dirust kîjan e?,Akdeniz\'e yakın Kürt bölgelerinde görülen iklim
offline_8574,Cografya,ku,Ji aliyê Cografyaê ve ji bo \'Siverek ovası\' îfadeya rast kîjan e?,Karacadağ lavlarının oluşturduğu taşlık plato
offline_8585,Cografya,ku,Kîjan têgeha \'Şehrizor ovası\' di nav erdnîgariyê de rast bi cih dike?,Süleymaniye güneyindeki tarihi verimli düzlük
offline_8672,Cografya,ku,Ji bo Cografyaê derbarê \'Dicle bölümü\' de vebijêrka rast kîjan e?,Diyarbakır ve Şırnak\'ı kapsayan nehir havzası
offline_8686,Cografya,ku,Derbarê \'Munzur dağları\' de ya rast kîjan e?,Dersim coğrafyasının en engebeli sıradağları
offline_8739,Cografya,ku,Di çarçoveya Cografyaê de \'Muş ovası\' çawa divê bê fêmkirin?,Fırat\'ın kollarının suladığı büyük tarım ovası
offline_8803,Cografya,ku,Di çarçoveya Cografyaê de \'Hazar gölü\' çawa divê bê fêmkirin?,Elazığ sınırlarında yer alan tektonik göl
offline_8833,Cografya,ku,\'Ağrı dağı\' di mijara erdnîgariyê de çi vedibêje?,Kürdistan coğrafyasının en yüksek zirvesi
offline_8839,Cografya,ku,Kîjan têgeha \'Süphan dağı\' di nav erdnîgariyê de rast bi cih dike?,Van gölü kuzeyinde yer alan sönmüş volkanik dağ
offline_8852,Cografya,ku,Kîjan cihê \'Urmiye gölü\' rast tarîf dike?,Doğu Kürdistan\'da yer alan tuzlu göl havzası
offline_8861,Cografya,ku,Derbarê \'Karacadağ\' de agahiya herî rast kîjan e?,Diyarbakır ovasında yer alan yayvan bazaltik volkan
offline_8889,Cografya,ku,\'Nemrut krateri\' di mijara erdnîgariyê de çi vedibêje?,dünyanın en büyük ikinci krater gölüne sahip dağ
offline_8894,Cografya,ku,Kîjan têgeha \'akdeniz iklimi\' di nav erdnîgariyê de rast bi cih dike?,Akdeniz\'e yakın Kürt bölgelerinde görülen iklim
offline_8903,Cografya,ku,Di zanîna erdnîgariyê de der barê \'Fırat nehri\' de ya rast kîjan e?,Mezopotamya\'ya hayat veren büyük nehir
offline_8916,Cografya,ku,Derbarê \'Aras nehri\' de ya rast kîjan e?,Kars ve Iğdır sınırlarından geçip Hazar\'a dökülen su
offline_8921,Cografya,ku,Derbarê \'Nemrut krateri\' de ya rast kîjan e?,dünyanın en büyük ikinci krater gölüne sahip dağ
offline_8941,Cografya,ku,\'Botan çayı\' di erdnîgariyê de çi îfade dike?,Siirt yöresinden geçip Dicle\'ye dökülen nehir
offline_8950,Cografya,ku,\'Dokan gölü\' ji aliyê erdnîgarî ve çi vedibêje?,Süleymaniye yakınlarında yer alan yapay baraj gölü
offline_8986,Cografya,ku,\'Şengal dağı\' kîjan hêmana erdnîgariyê ye?,Musul ovasının ortasında yükselen stratejik dağ
offline_9008,Cografya,ku,\'Muş ovası\' ji aliyê erdnîgarî ve çi vedibêje?,Fırat\'ın kollarının suladığı büyük tarım ovası
offline_9029,Cografya,ku,Li jêr ji bo \'Van gölü\' kîjan rast e?,dünyanın en büyük sodalı gölü olan havza
offline_9032,Cografya,ku,\'meşe ormanları\' bi awayekî rast çawa tê ravekirin?,Kürdistan dağlarının tipik bitki örtüsü ve ağacı
offline_9036,Cografya,ku,Kîjan cihê \'Tendürek dağı\' rast tarîf dike?,krater gölüne sahip aktif volkanik dağ
offline_9072,Cografya,ku,Kîjan cihê \'Munzur vadisi\' rast tarîf dike?,Tunceli\'de yer alan milli park statüsündeki vadi
offline_9132,Cografya,ku,\'Habur çayı\' ji aliyê erdnîgarî ve çi vedibêje?,Türkiye ve Irak sınırını çizen Dicle kolu
offline_9207,Edebiyat,ku,Têgiha \'Ronahî dergisi\' çi pêk tîne?,Şam\'da Latin alfabesiyle çıkarılan edebi dergi
offline_9227,Edebiyat,ku,Di qada Edebiyatê de \'Cegerxwîn\' çi îfade dike?,modern Kürt şiirinin öncü toplumcu şairi
offline_9280,Edebiyat,ku,Li jêr ji bo \'roman\' ya rast kîjan e?,uzun anlatı
offline_9343,Edebiyat,ku,Der barê \'Hêmin Mukriyanî\' de ji bo wêjeyê bijardeya rast kîjan e?,Doğu Kürdistan\'ın meşhur modern şair ve yazarı
offline_9344,Edebiyat,ku,Kîjan têgeha \'Hejar Mukriyanî\' di nav wêjeyê de rast bi cih dike?,Şerefname ve Mem û Zîn\'i Soraniceye çeviren yazar
offline_9378,Edebiyat,ku,Derbarê \'Feqiyê Teyran\' de ya rast kîjan e?,kuşların diliyle yazan meşhur Kürt şair
offline_9387,Edebiyat,ku,Îfadeya ku têgiha \'Ronahî dergisi\' rast vedibêje kîjan e?,Şam\'da Latin alfabesiyle çıkarılan edebi dergi
offline_9405,Edebiyat,ku,Ji aliyê Edebiyatê ve ji bo \'Mem û Zîn\' îfadeya rast kîjan e?,Kürt klasik edebiyatının en büyük aşk destanı
offline_9409,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Ehmedê Xasî\' de vebijêrka rast kîjan e?,Zazaca ilk mevlidi yazan şair ve din alimi
offline_9410,Edebiyat,ku,Derbarê \'Memê Alan destanı\' de ya rast a zanîn çi ye?,Ehmedê Xanî\'nin Mem û Zîn\'e ilham aldığı halk destanı
